Unique.Specimen.Identifier,Family1,Order1,Sequence,Specimen.number,Source,Sex,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Acanthiza apicalis_822912,Acanthizidae,PASSERIFORMES,6222,822912,AMNH,F,11.4,NA,2.4,2.4,NA,43,NA,NA,NA,40,1,BM,0,0,1
Acanthiza apicalis_822912,Acanthizidae,PASSERIFORMES,6222,822912,AMNH,F,11.8,NA,2.2,2.6,17.6,48.5,NA,NA,NA,40,2,VR,0,0,1
Acanthiza apicalis_822915,Acanthizidae,PASSERIFORMES,6222,822915,AMNH,F,11.4,NA,2.2,2.5,NA,52,NA,NA,NA,46,1,BM,0,0,1
Acanthiza apicalis_822915,Acanthizidae,PASSERIFORMES,6222,822915,AMNH,F,11.3,NA,2.2,2.5,18.8,52,NA,NA,NA,47,2,VR,0,0,1
Acanthiza apicalis_822915,Acanthizidae,PASSERIFORMES,6222,822915,AMNH,F,11.3,NA,2.1,2.5,19.5,52,NA,NA,NA,47,3,VR,0,0,1
Acanthiza katherina_600488,Acanthizidae,PASSERIFORMES,6225,600488,AMNH,F,11.1,NA,2.2,2.5,17.8,50,NA,NA,NA,40.5,1,VR,0,0,0
Acanthiza katherina_600488,Acanthizidae,PASSERIFORMES,6225,600488,AMNH,U,10.4,5.7,2.4,2.7,17.1,50,8.8,41.2,17.6,45.5,2,CS,1,0,0
Acanthiza katherina_822916,Acanthizidae,PASSERIFORMES,6225,822916,AMNH,M,12.6,NA,2.3,2.4,18.4,54,NA,NA,NA,44.5,1,VR,0,0,0
Acanthiza katherina_822916,Acanthizidae,PASSERIFORMES,6225,822916,AMNH,M,12,5.8,2.3,2.7,18.6,53.5,9.4,44.1,17.6,45,2,CS,1,0,0
Acanthornis magna_601237,Acanthizidae,PASSERIFORMES,6213,601237,AMNH,F,15.4,NA,2.2,2.8,21.3,54.5,NA,NA,NA,49.5,1,VR,0,0,1
Acanthornis magna_601237,Acanthizidae,PASSERIFORMES,6213,601237,AMNH,F,15.3,NA,2.3,2.9,21.1,54,NA,NA,NA,49,2,VR,0,0,1
Actenoides capucinus_299294,Alcedinidae,CORACIIFORMES,3471,299294,AMNH,M,55,NA,NA,NA,NA,149,NA,NA,NA,119,1,NJC,0,0,0
Actenoides capucinus_299294,Alcedinidae,CORACIIFORMES,3471,299294,AMNH,M,56.2,40.8,13.8,20.2,22.6,150.7,29,121.7,19.2,114.7,2,BCW,1,0,0
Actenoides capucinus_299295,Alcedinidae,CORACIIFORMES,3471,299295,AMNH,F,61,NA,NA,NA,NA,154,NA,NA,NA,122,1,NJC,0,0,0
Actenoides capucinus_299295,Alcedinidae,CORACIIFORMES,3471,299295,AMNH,F,60.6,44.4,14.4,20.4,22.4,155,30.1,124.9,19.4,115,2,BCW,1,0,0
Actenoides capucinus_640359,Alcedinidae,CORACIIFORMES,3471,640359,AMNH,F,56,NA,NA,NA,NA,144,NA,NA,NA,117,1,NJC,0,0,0
Actenoides capucinus_640359,Alcedinidae,CORACIIFORMES,3471,640359,AMNH,F,55.1,42,14.1,17.5,22.3,145,27.3,117.8,18.8,113.6,2,BCW,1,0,0
Amytornis ballarae_822824,Maluridae,PASSERIFORMES,5962,822824,AMNH,M,14.2,NA,3.7,5,25.6,60.5,NA,NA,NA,77.5,1,VR,0,0,0
Amytornis ballarae_822824,Maluridae,PASSERIFORMES,5962,822824,AMNH,M,15.4,8.1,3.9,4.9,24.2,60.9,10.2,50.7,16.7,71.8,2,BCW,1,0,0
Amytornis ballarae_822826,Maluridae,PASSERIFORMES,5962,822826,AMNH,F,13.1,NA,3.3,4.9,22.9,58,NA,NA,NA,70,1,VR,0,0,0
Amytornis ballarae_822826,Maluridae,PASSERIFORMES,5962,822826,AMNH,F,15.5,8.7,4,4.9,23,57,7,50,12.3,68.3,2,BCW,1,0,0
Amytornis ballarae_822827,Maluridae,PASSERIFORMES,5962,822827,AMNH,M,15.7,NA,3.6,5.1,25.4,62.5,NA,NA,NA,78.5,1,VR,0,0,0
Amytornis ballarae_822827,Maluridae,PASSERIFORMES,5962,822827,AMNH,M,16.3,7.7,4,5,23.5,61.8,6.9,54.9,11.2,70.2,2,BCW,1,0,0
Androphobus viridis_340497,Psophodidae,PASSERIFORMES,6358,340497,AMNH,M,15.5,7.9,3.9,4.5,25.9,64,4.9,59.1,7.7,72,1,CS,1,1,0
Androphobus viridis_340497,Psophodidae,PASSERIFORMES,6358,340497,AMNH,M,16.1,7.8,4.5,4.5,26.1,62,5,57,8.1,76,2,BGF,1,1,0
Androphobus viridis_340498,Psophodidae,PASSERIFORMES,6358,340498,AMNH,M,14.7,8.1,3.8,4.6,24.8,66,4.3,61.7,6.5,72,1,CS,1,1,0
Androphobus viridis_340498,Psophodidae,PASSERIFORMES,6358,340498,AMNH,M,15.4,8.6,4.1,4.4,25,62,5,57,8.1,76,2,BGF,1,1,0
Androphobus viridis_340499,Psophodidae,PASSERIFORMES,6358,340499,AMNH,F,16,8.6,3.6,4.8,25,64,5.7,58.3,8.9,65,1,CS,1,1,0
Androphobus viridis_340499,Psophodidae,PASSERIFORMES,6358,340499,AMNH,F,16.4,8.7,4.8,5.3,24.8,64,4,60,6.3,75,2,BGF,1,1,0
Anthochaera chrysoptera_696448,Meliphagidae,PASSERIFORMES,6130,696448,AMNH,F,33.9,NA,4.3,6,NA,132,NA,NA,NA,141,1,BM,0,0,1
Anthochaera chrysoptera_696448,Meliphagidae,PASSERIFORMES,6130,696448,AMNH,F,33.9,NA,4.3,5.9,27.3,131,NA,NA,NA,137,2,VR,0,0,1
Antrostomus arizonae_754317,Caprimulgidae,CAPRIMULGIFORMES,1041,754317,AMNH,M,21.6,7.9,5.6,3.3,17.9,164.4,81.6,82.8,49.6,112.5,1,BCW,1,1,0
Antrostomus arizonae_754317,Caprimulgidae,CAPRIMULGIFORMES,1041,754317,AMNH,M,17.3,7.9,5.2,4,NA,164.7,79.6,85.1,48.3,113.2,2,BCW,1,1,0
Aphelocephala pectoralis_683490,Acanthizidae,PASSERIFORMES,6215,683490,AMNH,M,9.6,NA,2.9,3.7,17.8,55,NA,NA,NA,38,1,VR,0,0,0
Aphelocephala pectoralis_683490,Acanthizidae,PASSERIFORMES,6215,683490,AMNH,M,8.6,5.1,3,3.9,16.9,53.5,8.6,44.9,16.1,37.5,2,CS,1,0,0
Aphelocephala pectoralis_683495,Acanthizidae,PASSERIFORMES,6215,683495,AMNH,M,9.7,NA,3.3,3.8,17.7,56,NA,NA,NA,38,1,VR,0,0,0
Aphelocephala pectoralis_683495,Acanthizidae,PASSERIFORMES,6215,683495,AMNH,M,9.1,5.5,3,3.7,17.5,55,10.4,44.6,18.9,36,2,CS,1,0,0
Aphelocephala pectoralis_683497,Acanthizidae,PASSERIFORMES,6215,683497,AMNH,F,10.4,NA,3,4,18.6,55,NA,NA,NA,39.5,1,VR,0,0,0
Aphelocephala pectoralis_683497,Acanthizidae,PASSERIFORMES,6215,683497,AMNH,F,10.2,5,3,4.2,17.5,55,9.8,45.2,17.8,39.5,2,CS,1,0,0
Aphelocephala pectoralis_683498,Acanthizidae,PASSERIFORMES,6215,683498,AMNH,F,9,NA,3.3,3.5,17,53,NA,NA,NA,37,1,VR,0,0,0
Aphelocephala pectoralis_683498,Acanthizidae,PASSERIFORMES,6215,683498,AMNH,F,8.1,5.3,2.5,3.8,15.2,53,8.3,44.7,15.7,41,2,CS,1,0,0
Arses lorealis_653872,Monarchidae,PASSERIFORMES,6798,653872,AMNH,M,15.9,NA,4.5,3.5,17.6,76.5,NA,NA,NA,69,1,VR,0,0,1
Arses lorealis_653872,Monarchidae,PASSERIFORMES,6798,653872,AMNH,M,16.6,NA,5.6,3.8,20,77,13,64,16.9,66,2,CR,0,0,1
Arses lorealis_653897,Monarchidae,PASSERIFORMES,6798,653897,AMNH,M,16.2,NA,4.7,3.9,18.2,78,NA,NA,NA,69,1,VR,0,0,1
Arses lorealis_653897,Monarchidae,PASSERIFORMES,6798,653897,AMNH,M,17,NA,5.5,3.9,20.4,78,13,65,16.7,69,2,CR,0,0,1
Automolus infuscatus_429582,Furnariidae,PASSERIFORMES,5134,429582,AMNH,M,NA,14.6,4.9,6.3,22.4,93.9,NA,76.7,NA,74.2,1,SC,1,1,0
Automolus infuscatus_429582,Furnariidae,PASSERIFORMES,5134,429582,AMNH,M,NA,14.7,4.7,6.3,22.5,92.9,NA,75.6,NA,73.8,2,SC,1,1,0
Bangsia melanochlamys_134380,Thraupidae,PASSERIFORMES,11078,134380,AMNH,M,16.8,10.2,6.4,8.4,23.5,88,14.1,73.9,16,NA,1,CS,1,1,0
Bangsia melanochlamys_134380,Thraupidae,PASSERIFORMES,11078,134380,AMNH,M,17.3,10.3,7.4,8.4,23.1,86,20,66,23.3,NA,2,BGF,1,1,0
Bangsia rothschildi_513879,Thraupidae,PASSERIFORMES,11077,513879,AMNH,F,18.6,11.3,6.2,9.3,24.2,86.5,21.3,65.2,24.6,58,1,CS,1,1,0
Bangsia rothschildi_513879,Thraupidae,PASSERIFORMES,11077,513879,AMNH,F,18.2,11.6,7.1,9.4,21.8,86,22,64,25.6,45,2,BGF,1,1,0
Batis ituriensis_262925,Platysteiridae,PASSERIFORMES,6613,262925,AMNH,M,11.8,6.6,4.6,3.2,13.5,49.5,5,44.5,10.1,34.5,1,CS,1,0,0
Batis ituriensis_262925,Platysteiridae,PASSERIFORMES,6613,262925,AMNH,M,14.1,NA,5.2,3.4,15.2,50,5,45,10,31,2,CR,0,0,0
Batis ituriensis_648916,Platysteiridae,PASSERIFORMES,6613,648916,AMNH,M,13,6.6,4.4,3.5,12.8,49.5,4.7,44.8,9.5,32,1,CS,1,0,0
Batis ituriensis_648916,Platysteiridae,PASSERIFORMES,6613,648916,AMNH,M,14.6,NA,5,3.7,14.5,50,4,46,8,32,2,CR,0,0,0
Bostrychia olivacea_259030,Threskiornithidae,PELECANIFORMES,2174,259030,AMNH,M,113,NA,NA,NA,76,361,NA,NA,NA,167,1,NJC,0,0,1
Bostrychia olivacea_259030,Threskiornithidae,PELECANIFORMES,2174,259030,AMNH,M,112,NA,NA,NA,75,371,NA,NA,NA,169,2,NJC,0,0,1
Calamanthus fuliginosus_587910,Acanthizidae,PASSERIFORMES,6194,587910,AMNH,F,13.8,NA,2.7,3.2,NA,53,NA,NA,NA,42,1,BM,0,0,1
Calamanthus fuliginosus_587910,Acanthizidae,PASSERIFORMES,6194,587910,AMNH,F,13.6,NA,2.5,3.1,20.5,54,NA,NA,NA,47.5,2,VR,0,0,1
Calamanthus pyrrhopygius_585491,Acanthizidae,PASSERIFORMES,6192,585491,AMNH,F,14.2,NA,2.8,3.3,NA,53,NA,NA,NA,58,1,BM,0,0,1
Calamanthus pyrrhopygius_585491,Acanthizidae,PASSERIFORMES,6192,585491,AMNH,F,14.2,NA,2.8,3.3,19.8,52.5,NA,NA,NA,59,2,VR,0,0,1
Celebesica abbotti_292620,Campephagidae,PASSERIFORMES,6504,292620,AMNH,M,23.3,13.9,5.7,6.8,25.4,107,25,82,23.4,98.5,1,CS,1,0,0
Celebesica abbotti_292620,Campephagidae,PASSERIFORMES,6504,292620,AMNH,M,26,NA,7,6.7,27,107,27,80,25.2,90,2,CR,0,0,0
Ceyx nigrirostris_637283,Alcedinidae,CORACIIFORMES,3429,637283,AMNH,F,39,NA,NA,NA,NA,57,NA,NA,NA,NA,1,NJC,0,0,0
Ceyx nigrirostris_637283,Alcedinidae,CORACIIFORMES,3429,637283,AMNH,F,41,31.5,6.4,7.4,9.4,59,12.2,46.8,20.6,23.6,2,BCW,1,0,0
Chamaeza meruloides_492108,Formicariidae,PASSERIFORMES,4952,492108,AMNH,U,20,10.8,5.5,6,35.3,89,11.4,77.6,12.8,75,1,CS,1,1,0
Chamaeza meruloides_492108,Formicariidae,PASSERIFORMES,4952,492108,AMNH,U,16.9,11,6,NA,37.8,89,17,72,19.1,67,2,BGF,1,1,0
Chasiempis sclateri_607195,Monarchidae,PASSERIFORMES,6827,607195,AMNH,M,15.2,8.2,4.4,3.8,23.6,72.6,13.3,59.4,18.3,60.3,1,BCW,1,0,0
Chasiempis sclateri_607195,Monarchidae,PASSERIFORMES,6827,607195,AMNH,M,16.3,NA,5.3,4,26.5,73,14,59,19.2,60,2,CR,0,0,0
Chlorospingus inornatus_233689,Passerellidae,PASSERIFORMES,10327,233689,AMNH,M,16.1,10.2,5.5,7.4,25.3,82,13,69,15.9,62,1,CS,1,1,0
Chlorospingus inornatus_233689,Passerellidae,PASSERIFORMES,10327,233689,AMNH,M,16.5,10,5.8,7.5,25.7,77,18,59,23.4,60,2,BGF,1,1,0
Cinclodes comechingonus_708641,Furnariidae,PASSERIFORMES,5077,708641,AMNH,M,NA,10.2,2.7,3.5,23.4,91,24.2,66.9,26.5,NA,1,SC,1,1,0
Cinclodes comechingonus_708641,Furnariidae,PASSERIFORMES,5077,708641,AMNH,M,16.5,10.1,2.9,3.7,23.3,90.5,21.6,68.9,23.9,73,2,CS,1,1,0
Cinclodes pabsti_314619,Furnariidae,PASSERIFORMES,5073,314619,AMNH,F,NA,15.3,4.4,4.6,29,104.4,25,79.4,24,NA,1,SC,1,1,0
Cinclodes pabsti_314619,Furnariidae,PASSERIFORMES,5073,314619,AMNH,F,24.1,15.2,4.3,4.7,29.8,100,19.8,80.2,19.8,93,2,CS,1,1,0
Cinclodes pabsti_314620,Furnariidae,PASSERIFORMES,5073,314620,AMNH,U,NA,14.7,3.8,4.4,30.4,107.3,26.3,81,24.5,NA,1,SC,1,1,0
Cinclodes pabsti_314620,Furnariidae,PASSERIFORMES,5073,314620,AMNH,U,24,14.8,3.8,4.9,31,107,26.4,80.6,24.7,101,2,CS,1,1,0
Cinclodes pabsti_813030,Furnariidae,PASSERIFORMES,5073,813030,AMNH,M,NA,15.8,4.5,4.1,30.9,105.2,24.8,80.4,23.6,NA,1,SC,1,1,0
Cinclodes pabsti_813030,Furnariidae,PASSERIFORMES,5073,813030,AMNH,M,21.5,12.5,4.7,4.2,31.3,102,22.5,79.5,22.1,84,2,CS,1,1,0
Cinclosoma castaneothorax_811226,Cinclosomatidae,PASSERIFORMES,6300,811226,AMNH,M,18.5,NA,3.6,4.8,28.4,93.5,NA,NA,NA,93,1,VR,0,0,1
Cinclosoma castaneothorax_811226,Cinclosomatidae,PASSERIFORMES,6300,811226,AMNH,M,18.1,NA,5,5.6,31.4,94,24,70,25.5,89,2,CR,0,0,1
Cinclosoma castaneothorax_811227,Cinclosomatidae,PASSERIFORMES,6300,811227,AMNH,M,18.8,10.5,4.5,5,26.5,91,23.2,67.8,25.5,93,1,CS,1,0,0
Cinclosoma castaneothorax_811227,Cinclosomatidae,PASSERIFORMES,6300,811227,AMNH,M,19.5,NA,5,5.4,30.4,91,24,67,26.4,85,2,CR,0,0,0
Cinclosoma castaneothorax_811228,Cinclosomatidae,PASSERIFORMES,6300,811228,AMNH,M,19.6,NA,3.8,5,27.3,96.5,NA,NA,NA,94,1,VR,0,0,1
Cinclosoma castaneothorax_811228,Cinclosomatidae,PASSERIFORMES,6300,811228,AMNH,M,22.1,NA,5.3,5.4,31.1,97,22,75,22.7,89,2,CR,0,0,1
Cinclosoma castaneothorax_811230,Cinclosomatidae,PASSERIFORMES,6300,811230,AMNH,M,20.4,NA,4.3,4.7,29.4,99.5,NA,NA,NA,90,1,VR,0,0,1
Cinclosoma castaneothorax_811230,Cinclosomatidae,PASSERIFORMES,6300,811230,AMNH,M,20.3,NA,6.1,5.4,32.6,100,24,76,24,89,2,CR,0,0,1
Cinclosoma castaneothorax_811233,Cinclosomatidae,PASSERIFORMES,6300,811233,AMNH,F,16.8,NA,3.2,4.6,27.9,93.5,NA,NA,NA,92,1,VR,0,0,0
Cinclosoma castaneothorax_811233,Cinclosomatidae,PASSERIFORMES,6300,811233,AMNH,F,17.6,9.6,3.4,4.5,26.8,93.5,23.8,69.7,25.5,95,2,CS,1,0,0
Clibanornis rubiginosus_6468,Furnariidae,PASSERIFORMES,5120,6468,AMNH,M,NA,16.5,4.6,7,24.9,87.3,7.5,79.8,8.6,NA,1,SC,1,1,0
Clibanornis rubiginosus_6468,Furnariidae,PASSERIFORMES,5120,6468,AMNH,M,26,16.7,4.4,7.3,25.1,89,6.5,82.5,7.3,93,2,CS,1,1,0
Clytorhynchus sanctaecrucis_217985,Monarchidae,PASSERIFORMES,6845,217985,AMNH,M,22.6,14.2,4.7,6.5,23.4,90.5,16.8,73.7,18.6,73.5,1,CS,0,0,1
Clytorhynchus sanctaecrucis_217985,Monarchidae,PASSERIFORMES,6845,217985,AMNH,M,24.8,NA,6.2,6.4,25.7,90,14,76,15.6,68,2,CR,0,0,1
Cnemathraupis aureodorsalis_812021,Thraupidae,PASSERIFORMES,11060,812021,AMNH,M,22.6,12.1,7.1,11.2,32.7,121.5,19.8,101.7,16.3,95,1,CS,1,1,0
Cnemathraupis aureodorsalis_812021,Thraupidae,PASSERIFORMES,11060,812021,AMNH,M,24,12,8.2,11.4,33.7,131,29,102,22.1,104,2,BGF,1,1,0
Colluricincla boweri_656917,Pachycephalidae,PASSERIFORMES,6355,656917,AMNH,M,27,NA,6.3,8.1,NA,106,NA,NA,NA,83,1,BM,0,0,1
Colluricincla boweri_656917,Pachycephalidae,PASSERIFORMES,6355,656917,AMNH,M,28,NA,7.3,8.1,29.8,107,22,85,20.6,79,2,CR,0,0,1
Colluricincla woodwardi_804182,Pachycephalidae,PASSERIFORMES,6357,804182,AMNH,M,30.5,NA,5,6.7,29.5,121.5,NA,NA,NA,113,1,VR,0,0,1
Colluricincla woodwardi_804182,Pachycephalidae,PASSERIFORMES,6357,804182,AMNH,M,31.1,NA,5.9,7,31.9,121,19,102,15.7,111,2,CR,0,0,1
Colluricincla woodwardi_804183,Pachycephalidae,PASSERIFORMES,6357,804183,AMNH,M,30.7,NA,4.7,7.5,30.2,127,NA,NA,NA,112,1,VR,0,0,1
Colluricincla woodwardi_804183,Pachycephalidae,PASSERIFORMES,6357,804183,AMNH,M,31.6,NA,6,7.3,31.2,126,21,105,16.7,105,2,CR,0,0,1
Coracina schistacea_561076,Campephagidae,PASSERIFORMES,6460,561076,AMNH,M,28.3,19.6,10.6,11.1,24.3,152,50.9,101.1,33.5,135.5,1,CS,1,0,0
Coracina schistacea_561076,Campephagidae,PASSERIFORMES,6460,561076,AMNH,M,31.7,NA,12.5,11.3,25.9,163,52,111,31.9,115,2,CR,0,0,0
Coracina schistacea_561080,Campephagidae,PASSERIFORMES,6460,561080,AMNH,M,31.6,19.8,11.2,11.9,26.9,164.5,58.6,105.9,35.6,145,1,CS,1,0,0
Coracina schistacea_561080,Campephagidae,PASSERIFORMES,6460,561080,AMNH,M,33.6,NA,13.7,12.1,27.6,166,49,117,29.5,122,2,CR,0,0,0
Coracornis raveni_299558,Pachycephalidae,PASSERIFORMES,6307,299558,AMNH,M,13.4,8.1,4.7,4.4,23.9,80,18,62,22.5,67,1,BGF,1,0,0
Coracornis raveni_299558,Pachycephalidae,PASSERIFORMES,6307,299558,AMNH,M,16,NA,4.9,4.4,25.3,78,11,67,14.1,67,2,CR,0,0,0
Coracornis raveni_299560,Pachycephalidae,PASSERIFORMES,6307,299560,AMNH,M,14,8.9,4.2,4.2,22.7,83,20,63,24.1,66,1,BGF,1,0,0
Coracornis raveni_299560,Pachycephalidae,PASSERIFORMES,6307,299560,AMNH,M,16.1,NA,5.5,4.1,24.1,82,13,69,15.9,68,2,CR,0,0,0
Corvus florensis_673968,Corvidae,PASSERIFORMES,6989,673968,AMNH,F,50.5,27.7,8.7,15,42.7,223,57.1,165.9,25.6,160,1,CS,1,0,0
Corvus florensis_673968,Corvidae,PASSERIFORMES,6989,673968,AMNH,M,49.2,NA,12.4,15.6,47.1,222,57,165,25.7,158,2,CR,0,0,0
Corvus kubaryi_673970,Corvidae,PASSERIFORMES,7008,673970,AMNH,M,60,39.4,13,18.4,53.2,238,62.8,175.2,26.4,183,1,CS,1,0,0
Corvus kubaryi_673970,Corvidae,PASSERIFORMES,7008,673970,AMNH,M,56.4,NA,15.5,19.3,56.1,243,68,175,28,161,2,CR,0,0,0
Corvus tasmanicus_674706,Corvidae,PASSERIFORMES,7004,674706,AMNH,M,61.7,NA,17.8,19.8,64.5,335,129,206,38.5,178,1,CR,0,0,1
Corvus tasmanicus_674706,Corvidae,PASSERIFORMES,7004,674706,AMNH,M,61.1,NA,14.4,19,NA,330,NA,NA,NA,189,2,BM,0,0,1
Corvus tasmanicus_674706,Corvidae,PASSERIFORMES,7004,674706,AMNH,M,60.1,NA,13.5,19.2,62.4,340,NA,NA,NA,190,3,VR,0,0,1
Corvus unicolor_673966,Corvidae,PASSERIFORMES,6991,673966,AMNH,U,47,30.5,13.5,17.1,44.5,198.5,59.2,139.3,29.8,101,1,CS,1,0,0
Corvus unicolor_673966,Corvidae,PASSERIFORMES,6991,673966,AMNH,U,46.8,NA,15.6,17.9,45.8,199,58,141,29.1,100,2,CR,0,0,0
Cracticus louisiadensis_673334,Artamidae,PASSERIFORMES,6536,673334,AMNH,M,49.2,35.9,12.8,16.2,32,169.5,40.1,129.4,23.7,136,1,CS,1,0,0
Cracticus louisiadensis_673334,Artamidae,PASSERIFORMES,6536,673334,AMNH,M,50.3,NA,14.5,18.4,36.9,170,44,126,25.9,128,2,CR,0,0,0
Cranioleuca muelleri_429562,Furnariidae,PASSERIFORMES,5223,429562,AMNH,M,NA,11.2,3.5,4.1,18.7,78.8,12.6,66.2,16,NA,1,SC,1,1,0
Cranioleuca muelleri_429562,Furnariidae,PASSERIFORMES,5223,429562,AMNH,M,16.9,11,3.8,4.1,18.8,78.5,9.9,68.6,12.6,87,2,CS,1,1,0
Cranioleuca muelleri_429563,Furnariidae,PASSERIFORMES,5223,429563,AMNH,M,NA,11,3.5,3.9,18.7,73.6,11,62.6,15,NA,1,SC,1,1,0
Cranioleuca muelleri_429563,Furnariidae,PASSERIFORMES,5223,429563,AMNH,M,16.8,10.7,3.4,4.1,18.2,74,9.9,64.1,13.4,72,2,CS,1,1,0
Dasyornis brachypterus_598141,Dasyornithidae,PASSERIFORMES,5966,598141,AMNH,F,17.7,NA,3.8,4.1,NA,70,NA,NA,NA,88,1,BM,0,0,1
Dasyornis brachypterus_598141,Dasyornithidae,PASSERIFORMES,5966,598141,AMNH,F,15.9,NA,3.6,4.3,25,68,NA,NA,NA,87,2,VR,0,0,1
Dicrurus montanus_293426,Dicruridae,PASSERIFORMES,6767,293426,AMNH,M,28.4,19.5,9.2,9.1,22.2,135,41,94,30.4,118,1,BGF,1,0,0
Dicrurus montanus_293426,Dicruridae,PASSERIFORMES,6767,293426,AMNH,M,31.8,NA,10.9,9.1,NA,139,40,99,28.8,83,2,CR,0,0,0
Edolisoma parvulum_561037,Campephagidae,PASSERIFORMES,6503,561037,AMNH,M,26.8,15.7,8.1,8.7,22.6,142,41.4,100.6,29.2,117,1,CS,1,0,0
Edolisoma parvulum_561037,Campephagidae,PASSERIFORMES,6503,561037,AMNH,M,26.5,NA,9.8,9.1,25.7,142,40,102,28.2,97,2,CR,0,0,0
Edolisoma sula_562441,Campephagidae,PASSERIFORMES,6493,562441,AMNH,M,25.2,15.8,7.7,8.2,22.9,118,31.9,86.1,27,103,1,CS,1,0,0
Edolisoma sula_562441,Campephagidae,PASSERIFORMES,6493,562441,AMNH,M,27.6,NA,9.2,7.8,25.5,122,36,86,29.5,85,2,CR,0,0,0
Epinecrophylla haematonota_255780,Thamnophilidae,PASSERIFORMES,4584,255780,AMNH,M,13.7,9.3,3.2,3.6,15.2,51,7.2,43.8,14.1,40,1,CS,1,1,0
Epinecrophylla haematonota_255780,Thamnophilidae,PASSERIFORMES,4584,255780,AMNH,M,14.1,9.2,3.5,4,15.6,51,10,41,19.6,41,2,BGF,1,1,0
Geoffroyus hyacinthinus_224741,Psittacidae,PSITTACIFORMES,4464,224741,AMNH,F,24.2,20,13.3,21.3,19,170.2,68.7,101.4,40.4,103.4,1,BCW,1,0,0
Geoffroyus hyacinthinus_224741,Psittacidae,PSITTACIFORMES,4464,224741,AMNH,F,20.6,NA,NA,NA,NA,175,NA,NA,NA,104,2,NJC,0,0,0
Geoffroyus hyacinthinus_226431,Psittacidae,PSITTACIFORMES,4464,226431,AMNH,M,NA,NA,13.5,19.4,17.9,167.6,66.1,101.5,39.4,98,1,BCW,1,0,0
Geoffroyus hyacinthinus_226431,Psittacidae,PSITTACIFORMES,4464,226431,AMNH,M,NA,NA,NA,NA,NA,168,NA,NA,NA,102,2,NJC,0,0,0
Geoffroyus hyacinthinus_226432,Psittacidae,PSITTACIFORMES,4464,226432,AMNH,F,21.3,NA,NA,NA,NA,163,NA,NA,NA,102,1,NJC,0,0,0
Geoffroyus hyacinthinus_226432,Psittacidae,PSITTACIFORMES,4464,226432,AMNH,F,24.9,20.5,12.8,20.9,17.4,164.2,64.7,99.5,39.4,97.1,2,BCW,1,0,0
Geokichla cinerea_802504,Turdidae,PASSERIFORMES,8921,802504,AMNH,F,20.8,12.4,5.2,6.4,30.8,109.5,30.8,78.7,28.1,63,1,CS,1,1,0
Geokichla cinerea_802504,Turdidae,PASSERIFORMES,8921,802504,AMNH,F,20.2,12.5,6,6.7,30.9,110,32,78,29.1,64,2,BGF,1,1,0
Geositta antarctica_165176,Furnariidae,PASSERIFORMES,4971,165176,AMNH,M,NA,10.7,3.2,4,20.1,109.1,41.7,67.5,38.2,NA,1,SC,1,1,0
Geositta antarctica_165176,Furnariidae,PASSERIFORMES,4971,165176,AMNH,M,NA,10.5,3.5,3.9,20.8,109.1,42,67.2,38.5,NA,2,SC,1,1,0
Gerygone mouki_606871,Acanthizidae,PASSERIFORMES,6168,606871,AMNH,F,11.9,NA,2.6,2.5,17,51,NA,NA,NA,41.5,1,VR,0,0,1
Gerygone mouki_606871,Acanthizidae,PASSERIFORMES,6168,606871,AMNH,F,12,NA,2.6,2.5,17.1,51,NA,NA,NA,43,2,VR,0,0,1
Grallaria alleni_124427,Grallariidae,PASSERIFORMES,4833,124427,AMNH,M,25.6,15.6,6.4,7.4,45.2,99,17.4,81.6,17.6,53,1,CS,1,1,0
Grallaria alleni_124427,Grallariidae,PASSERIFORMES,4833,124427,AMNH,M,25.8,15.7,6.8,7.6,46.2,97,17,80,17.5,32,2,BGF,1,1,0
Grallaria bangsi_73146,Grallariidae,PASSERIFORMES,4841,73146,AMNH,U,25.2,14.4,6,7.8,49,89,7.7,81.3,8.7,51.5,1,CS,1,1,0
Grallaria bangsi_73146,Grallariidae,PASSERIFORMES,4841,73146,AMNH,F,24.5,14.6,6.8,7.8,49.3,88,10,78,11.4,52,2,BGF,1,1,0
Grallaria excelsa_428768,Grallariidae,PASSERIFORMES,4831,428768,AMNH,M,37.4,23.8,9.8,13.6,64.6,165,16.2,148.8,9.8,57,1,CS,1,1,0
Grallaria excelsa_428768,Grallariidae,PASSERIFORMES,4831,428768,AMNH,M,36.5,23.3,10.5,13.9,64.8,155,16,139,10.3,55,2,BGF,1,1,0
Grantiella picta_235381,Meliphagidae,PASSERIFORMES,6012,235381,AMNH,U,15.6,7.6,3.3,3.7,NA,79.6,27,52.6,33.9,NA,1,BCW,1,0,0
Grantiella picta_235381,Meliphagidae,PASSERIFORMES,6012,235381,AMNH,U,15.6,NA,3.1,3.7,16.4,81,NA,NA,NA,53,2,VR,0,0,0
Grantiella picta_691807,Meliphagidae,PASSERIFORMES,6012,691807,AMNH,U,17,NA,3.3,3.9,16.7,90.5,NA,NA,NA,53.5,1,VR,0,0,0
