Source,Institution.name,Specimens.sampled,Institution.city,Institution.country,Latitude,Longitude,Address
RMCA,Royal Museum for Central Africa,28,Tervuren,Belgium,50.830712,4.517275,"Leuvensesteenweg 13, 3080 Tervuren, Belgium"
QCNE,Museo Ecuatoriano de Ciencias Naturales,25,Quito,Ecuador,-0.185357,-78.485533,"Avenida Río Coca E6-115 e Isla Fernandina, Quito, Ecuador"
IAvH,"Instituto de Investigación de Recursos Biológicos Alexander von Humboldt, Villa de Leyva",21,Bogotá,Colombia,4.616602,-74.073157,"Calle 28A # 15-09 Bogotá, Colombia"
CUMV,Cornell University Museum of Vertebrates,20,Ithaca,USA,42.479947,-76.450864,"159 Sapsucker Woods Rd, Ithaca, NY 14850, USA"
CORBIDI,Centro de Ornitología y Biodiversidad,16,Lima,Peru,-12.11165,-76.971255,"Calle Santa Rita 105 of 2  Urb. Huertos de San Antonio, Surco, Lima, Perú"
UMMZ,"University of Michigan, Museum of Vertebrate Zoology",16,Ann Arbor,USA,42.276192,-83.741307,"109 Geddes Avenue, Ann Arbor, MI 48109-1079, USA"
MZB,Museum Zoologicum Bogoriense,15,Bogor,Indonesia,-6.603613,106.796937,"Kebun Raya Bogor, Jl. Ir. H. Djuanda No. 13, Paledang, Bogor Tengah, Kota Bogor, Jawa Barat 16911, Indonesia"
DNMNH,Ditsong National Museum of Natural History,14,Pretoria,South Africa,-25.752752,28.188717,"432 Paul Kruger St, Pretoria Central, Pretoria, 0001, South Africa"
GNM,Göteborgs Naturhistoriska Museum,14,Göteborg,Sweden,57.689804,11.949253,"Naturhistoriska Museet, Box 11049, Slottskogen, 40030 Göteborg, Sweden"
NMB,Neues Museum Biel,13,Biel,Switzerland,47.136894,7.246376,"Seevorstadt 52, 2501 Biel, Switzerland"
UVC,"Universidad del Valle, Cali, Colombia",13,Cali,Colombia,3.452126,-76.533285,"Universidad Del Valle, Cali, Valle del Cauca, Colombia"
CM,Carnegie Museum of Natural History,12,Pennsylvania,USA,40.443325,-79.950485,"4400 Forbes Ave, Pittsburgh, PA 15213-4007, USA"
MNHM,Museo Nacional de Historia Natural,12,Montevideo,Uruguay,-34.845242,-56.199774,"12900 Montevideo, Montevideo Department, Uruguay"
IRSNB,Royal Belgian Institute of Natural Sciences,8,Bruxelles,Belgium,50.83666,4.376632,"Rue Vautier 29, 1000 Bruxelles, Belgium"
KU,University of Kansas Biodiversity Institute,7,Lawrence,USA,38.958545,-95.243696,"1345 Jayhawk Blvd, Lawrence, KS 66045, USA"
MVZ,"Museum of Vertebrate Zoology, University of California",6,Berkeley,USA,37.87,-122.26,"Valley Life Sciences Bldg., 3101 UC Berkeley Rd, Berkeley, CA 94720, USA"
SAM,Iziko South African Museum,6,Cape Town,South Africa,-33.9291,18.4173,"Iziko Museums, South African Museum, PO Box 61, Cape Town 8000, South Africa"
CMC,Canterbury Museum,5,Christchurch,New Zealand,-43.530825,172.626964,"Rolleston Ave, Christchurch Central, Christchurch 8013, New Zealand"
LACM,Natural History Museum of Los Angeles County,5,Los Angeles,USA,34.016957,-118.28877,"900 W Exposition Blvd, Los Angeles, CA 90007, USA"
NZMC,"National Zoological Museum, Institute of Zoology, Chinese Academy of Sciences",4,Beijing,China,40.005076,116.381077,"1 Beichen West Road, Chaoyang District, Beijing 100101, P.R.China"
IMCN,"Colección Zoológica de Referencia Cientifica, Museo de Ciencias Naturales Federico Carlos Lehmann Valencia del INCIVA",3,Cali,Colombia,3.452126,-76.533285,"Roosevelt #24-80, Cali, Valle del Cauca, Colombia"
NMSL,Sri Lanka National Museum,3,Colombo,Sri Lanka,6.910455,79.860993,"Sir Marcus Fernando Mawatha, Colombo 00700, Sri Lanka"
ANDES,"Museo de Historia Natural Andes, Departamento de Ciencias Biológicas, Universidad de los Andes",2,Bogotá,Colombia,4.601485,-74.066446,"Cra 1 No. 18A-12 Bogotá, Colombia"
FML,"Fundación Miguel Lillo, San Miguel de Tucumán",2,San Miguel de Tucumán,Argentina,-26.831623,-65.221232,"Miguel Lillo 251, San Miguel de Tucumán, Tucumán, Argentina"
MBML,Museu de Biologia Professor Mello Leitão,2,Santa Teresa,Brazil,-19.935789,-40.599724,"Av. José Ruschi, Nº 4 - Centro, Santa Teresa - ES, 29650-000, Brazil"
NHM-BS,Staatliches Naturhistorisches Museum,2,Braunschweig,Germany,52.275236,10.529462,"Pockelsstraße 10, 38106 Braunschweig, Germany"
EYW,Edwin and Yoshika Willis collection,1,Rio Claro,Brazil,-22.414902,-47.565139,n/a
LIVCM,World Museum (previously Merseyside County Museums),1,Liverpool,UK,53.402938,-2.995636,"127 Dale Street, liverpool, L2 2JH, UK"
MSNG,Natural History Museum of Giacomo Doria,1,Genova,Italy,44.402537,8.942705,"Via Brigata Liguria, 9, 16121 Genova GE, Italy"
POC,Phelps Ornithological Collection,1,Caracas,Venezuela,10.3419,-66.5099,"Edf. Gran Sabana. Floor 3. Boulevard de, Sabana Grande Caracas 1050, Venezuela"
UADBA,"Université d'Antananarivo, Département de Biologie Animale",1,Antananarivo,Madagascar,-18.914032,47.551812,"BP 566, Antananarivo 101, Madagascar"
WAM,Western Australia Museum,1,Perth,Australia,-32.0023,115.8,"49 Kew Street, Welshpool Western Australia 6106, Australia"
Field1,Field samples collected using various methods (unpublished),11424,NA,NA,NA,NA,NA
Field2,Field measurements taken from previously published sources (Cardona-Salazar et al. 2020),2753,NA,NA,NA,NA,NA
NA,Museum specimens without source listed,7,NA,NA,NA,NA,NA
,,,,,,,
,,,,,,,
