,familyIDS,Number_of_species_per_family,Average_number_of_specimens_per_family,Average_number_of_complete_specimens_per_family,Portion_of_family_with_at_least_one_full_specimen,Portion_of_complete_specimens_per_family,Portion_of_family_with_at_least_four_specimens,Portion_of_family_with_at_least_four_full_traits_measured_per_species,Portion_of_family_with_at_least_four_main_traits_measured_per_species
85,Thinocoridae,4,5,4,100,84.3,100,100,100
86,Paridae,61,7,4.3,93.4,77,91.8,90.2,90.2
87,Balaenicipitidae,1,6,4,100,66.7,100,100,100
88,Parulidae,122,15.8,4.7,95.9,50.5,91.8,82.8,86.9
89,Platysteiridae,34,10.5,4.4,91.2,47.5,91.2,79.4,88.2
90,Podargidae,14,4.7,3.8,100,80.7,85.7,71.4,71.4
91,Bernieridae,11,3.6,3.3,100,92.7,63.6,63.6,63.6
92,Picidae,253,6.7,4.4,100,76.3,96.8,93.3,94.9
93,Malaconotidae,48,10.3,4.3,97.9,46.7,91.7,87.5,91.7
94,Bombycillidae,3,9.3,4,100,50.3,100,100,100
95,Threskiornithidae,35,6.3,3.8,97.1,76.2,97.1,97.1,97.1
96,Galbulidae,19,5.4,3.9,100,81.5,100,89.5,94.7
97,Lybiidae,53,6.6,3.9,98.1,68,96.2,92.5,94.3
98,Bucconidae,38,6,4,100,76,97.4,92.1,94.7
99,Buphagidae,2,5.5,4,100,73.3,100,100,100
100,Burhinidae,10,4.6,4,100,88,100,100,100
101,Cacatuidae,21,4.9,4.1,100,86,100,95.2,95.2
102,Cuculidae,150,5.9,4.3,97.3,79.3,92.7,90.7,90.7
103,Calcariidae,6,7.2,4.8,100,75.2,100,100,100
104,Callaeidae,4,1.2,1.2,50,50,25,25,25
105,Odontophoridae,35,5,3.7,100,78.8,82.9,80,82.9
106,Megalaimidae,35,5.8,4.5,97.1,84.5,100,97.1,97.1
107,Calyptomenidae,6,10,5.7,100,58.8,100,100,100
108,Calyptophilidae,2,4,4,100,100,100,100,100
109,Campephagidae,99,9.3,3.8,90.9,39.9,85.9,76.8,84.8
110,Troglodytidae,93,11.2,4.4,90.3,61.1,77.4,74.2,76.3
111,Capitonidae,18,6.3,4.5,100,81.5,94.4,94.4,94.4
112,Falconidae,64,6.8,4.6,98.4,74.8,98.4,95.3,96.9
113,Cariamidae,2,5.5,3.5,100,66.1,100,50,50
114,Passeridae,43,7.7,4.4,97.7,73.1,95.3,90.7,93
115,Casuariidae,4,5.2,4,100,79.3,100,100,100
116,Turdidae,177,10.6,4.1,89.3,55.2,82.5,78,80.2
117,Stercorariidae,7,8.6,5.1,100,64,100,100,100
118,Cathartidae,7,5.7,3.6,100,63.6,100,85.7,100
119,Certhiidae,9,9.6,4.9,100,71.6,100,100,100
120,Chaetopidae,2,4,3.5,100,90,50,50,50
121,Lamproliidae,4,5.8,2.2,75,43.2,50,50,50
122,Sylviidae,69,6.8,3.9,95.7,71.5,87,84.1,85.5
123,Formicariidae,12,9.9,5.2,100,67.6,91.7,91.7,91.7
124,Stenostiridae,9,13.7,8,100,73.6,88.9,88.9,88.9
125,Chionidae,2,5,4,100,80,100,100,100
126,Chloropseidae,13,4.8,4,92.3,78.1,84.6,76.9,84.6
127,Cinclosomatidae,11,9.3,3.4,81.8,32.3,81.8,72.7,81.8
128,Cinclidae,5,12.4,5.8,100,64.6,100,100,100
129,Recurvirostridae,7,7.1,5.6,100,81.9,100,85.7,100
130,Climacteridae,7,9.6,4,100,50.8,100,100,100
131,Cnemophilidae,4,3.8,3,100,82.5,75,50,75
132,Coliidae,6,8.7,4,100,61.5,100,100,100
133,Pachycephalidae,52,10.1,3.8,90.4,39.9,84.6,78.8,84.6
134,Conopophagidae,12,7.8,3.6,91.7,51.4,91.7,83.3,83.3
135,Coraciidae,13,6.3,4.5,100,74.1,92.3,92.3,92.3
136,Corcoracidae,2,9,4,100,45,100,100,100
137,Laniidae,33,12.9,4.9,93.9,36.8,93.9,90.9,93.9
