"AOU" "animal" "ORDER" "Family" "Genus" "Epithet" "animal_jetz"
"227" 1990 "Egretta_tricolor" "Pelecaniformes" "Ardeidae" "Egretta" "tricolor" "Egretta_tricolor"
"228" 1980 "Egretta_rufescens" "Pelecaniformes" "Ardeidae" "Egretta" "rufescens" "Egretta_rufescens"
"229" 2001 "Bubulcus_ibis" "Pelecaniformes" "Ardeidae" "Bubulcus" "ibis" "Bubulcus_ibis"
"230" 2010 "Butorides_virescens" "Pelecaniformes" "Ardeidae" "Butorides" "virescens" "Butorides_virescens"
"231" 2020 "Nycticorax_nycticorax" "Pelecaniformes" "Ardeidae" "Nycticorax" "nycticorax" "Nycticorax_nycticorax"
"232" 2030 "Nyctanassa_violacea" "Pelecaniformes" "Ardeidae" "Nyctanassa" "violacea" "Nyctanassa_violacea"
"233" 2035 "Nycticorax_nycticorax" "Pelecaniformes" "Ardeidae" "Nycticorax" "nycticorax" "Nycticorax_nycticorax"
"235" 1840 "Eudocimus_albus" "Pelecaniformes" "Threskiornithidae" "Eudocimus" "albus" "Eudocimus_albus"
"236" 1860 "Plegadis_falcinellus" "Pelecaniformes" "Threskiornithidae" "Plegadis" "falcinellus" "Plegadis_falcinellus"
"237" 1870 "Plegadis_chihi" "Pelecaniformes" "Threskiornithidae" "Plegadis" "chihi" "Plegadis_chihi"
"238" 1861 "Plegadis_falcinellus" "Pelecaniformes" "Threskiornithidae" "Plegadis" "falcinellus" "Plegadis_falcinellus"
"239" 1830 "Platalea_ajaja" "Pelecaniformes" "Threskiornithidae" "Platalea" "ajaja" "Platalea_ajaja"
"240" 3260 "Coragyps_atratus" "Cathartiformes" "Cathartidae" "Coragyps" "atratus" "Coragyps_atratus"
"241" 3250 "Cathartes_aura" "Cathartiformes" "Cathartidae" "Cathartes" "aura" "Cathartes_aura"
"242" 3255 "Coragyps_atratus" "Cathartiformes" "Cathartidae" "Coragyps" "atratus" "Coragyps_atratus"
"243" 3640 "Pandion_haliaetus" "Accipitriformes" "Pandionidae" "Pandion" "haliaetus" "Pandion_haliaetus"
"244" 3280 "Elanus_leucurus" "Accipitriformes" "Accipitridae" "Elanus" "leucurus" "Elanus_leucurus"
"245" 3270 "Elanoides_forficatus" "Accipitriformes" "Accipitridae" "Elanoides" "forficatus" "Elanoides_forficatus"
"246" 3490 "Aquila_chrysaetos" "Accipitriformes" "Accipitridae" "Aquila" "chrysaetos" "Aquila_chrysaetos"
"247" 3310 "Circus_hudsonius" "Accipitriformes" "Accipitridae" "Circus" "hudsonius" "Circus_cyaneus"
"248" 3320 "Accipiter_striatus" "Accipitriformes" "Accipitridae" "Accipiter" "striatus" "Accipiter_striatus"
"249" 3330 "Accipiter_cooperii" "Accipitriformes" "Accipitridae" "Accipiter" "cooperii" "Accipiter_cooperii"
"250" 3340 "Accipiter_gentilis" "Accipitriformes" "Accipitridae" "Accipiter" "gentilis" "Accipiter_gentilis"
"252" 3520 "Haliaeetus_leucocephalus" "Accipitriformes" "Accipitridae" "Haliaeetus" "leucocephalus" "Haliaeetus_leucocephalus"
"253" 3290 "Ictinia_mississippiensis" "Accipitriformes" "Accipitridae" "Ictinia" "mississippiensis" "Ictinia_mississippiensis"
"254" 3300 "Rostrhamus_sociabilis" "Accipitriformes" "Accipitridae" "Rostrhamus" "sociabilis" "Rostrhamus_sociabilis"
"255" 3450 "Buteogallus_anthracinus" "Accipitriformes" "Accipitridae" "Buteogallus" "anthracinus" "Buteogallus_anthracinus"
"256" 3350 "Parabuteo_unicinctus" "Accipitriformes" "Accipitridae" "Parabuteo" "unicinctus" "Parabuteo_unicinctus"
"257" 3410 "Geranoaetus_albicaudatus" "Accipitriformes" "Accipitridae" "Geranoaetus" "albicaudatus" "Geranoaetus_melanoleucus"
"258" 3460 "Buteo_plagiatus" "Accipitriformes" "Accipitridae" "Buteo" "plagiatus" "Buteo_nitidus"
"259" 3390 "Buteo_lineatus" "Accipitriformes" "Accipitridae" "Buteo" "lineatus" "Buteo_lineatus"
"260" 3430 "Buteo_platypterus" "Accipitriformes" "Accipitridae" "Buteo" "platypterus" "Buteo_platypterus"
"261" 3440 "Buteo_brachyurus" "Accipitriformes" "Accipitridae" "Buteo" "brachyurus" "Buteo_brachyurus"
"262" 3420 "Buteo_swainsoni" "Accipitriformes" "Accipitridae" "Buteo" "swainsoni" "Buteo_swainsoni"
"263" 3400 "Buteo_albonotatus" "Accipitriformes" "Accipitridae" "Buteo" "albonotatus" "Buteo_albonotatus"
"264" 3370 "Buteo_jamaicensis" "Accipitriformes" "Accipitridae" "Buteo" "jamaicensis" "Buteo_jamaicensis"
"265" 3380 "Buteo_jamaicensis" "Accipitriformes" "Accipitridae" "Buteo" "jamaicensis" "Buteo_jamaicensis"
"266" 3470 "Buteo_lagopus" "Accipitriformes" "Accipitridae" "Buteo" "lagopus" "Buteo_lagopus"
"267" 3480 "Buteo_regalis" "Accipitriformes" "Accipitridae" "Buteo" "regalis" "Buteo_regalis"
"269" 3650 "Tyto_alba" "Strigiformes" "Tytonidae" "Tyto" "alba" "Tyto_alba"
"270" 3740 "Psiloscops_flammeolus" "Strigiformes" "Strigidae" "Psiloscops" "flammeolus" "Otus_flammeolus"
"271" 3732 "Megascops_kennicottii" "Strigiformes" "Strigidae" "Megascops" "kennicottii" "Megascops_kennicottii"
"272" 3730 "Megascops_asio" "Strigiformes" "Strigidae" "Megascops" "asio" "Megascops_asio"
"273" 3750 "Bubo_virginianus" "Strigiformes" "Strigidae" "Bubo" "virginianus" "Bubo_virginianus"
"274" 3770 "Surnia_ulula" "Strigiformes" "Strigidae" "Surnia" "ulula" "Surnia_ulula"
"275" 3790 "Glaucidium_gnoma" "Strigiformes" "Strigidae" "Glaucidium" "gnoma" "Glaucidium_gnoma"
"276" 3810 "Micrathene_whitneyi" "Strigiformes" "Strigidae" "Micrathene" "whitneyi" "Micrathene_whitneyi"
"277" 3780 "Athene_cunicularia" "Strigiformes" "Strigidae" "Athene" "cunicularia" "Athene_cunicularia"
"278" 3690 "Strix_occidentalis" "Strigiformes" "Strigidae" "Strix" "occidentalis" "Strix_occidentalis"
"279" 3680 "Strix_varia" "Strigiformes" "Strigidae" "Strix" "varia" "Strix_varia"
"280" 3700 "Strix_nebulosa" "Strigiformes" "Strigidae" "Strix" "nebulosa" "Strix_nebulosa"
"281" 3660 "Asio_otus" "Strigiformes" "Strigidae" "Asio" "otus" "Asio_otus"
"282" 3670 "Asio_flammeus" "Strigiformes" "Strigidae" "Asio" "flammeus" "Asio_flammeus"
"283" 3710 "Aegolius_funereus" "Strigiformes" "Strigidae" "Aegolius" "funereus" "Aegolius_funereus"
"284" 3720 "Aegolius_acadicus" "Strigiformes" "Strigidae" "Aegolius" "acadicus" "Aegolius_acadicus"
"285" 3890 "Trogon_elegans" "Trogoniformes" "Trogonidae" "Trogon" "elegans" "Trogon_elegans"
"286" 3900 "Megaceryle_alcyon" "Coraciiformes" "Alcedinidae" "Megaceryle" "alcyon" "Megaceryle_alcyon"
"287" 4080 "Melanerpes_lewis" "Piciformes" "Picidae" "Melanerpes" "lewis" "Melanerpes_lewis"
"288" 4060 "Melanerpes_erythrocephalus" "Piciformes" "Picidae" "Melanerpes" "erythrocephalus" "Melanerpes_erythrocephalus"
"289" 4070 "Melanerpes_formicivorus" "Piciformes" "Picidae" "Melanerpes" "formicivorus" "Melanerpes_formicivorus"
"290" 4110 "Melanerpes_uropygialis" "Piciformes" "Picidae" "Melanerpes" "uropygialis" "Melanerpes_uropygialis"
"291" 4100 "Melanerpes_aurifrons" "Piciformes" "Picidae" "Melanerpes" "aurifrons" "Melanerpes_aurifrons"
"292" 4090 "Melanerpes_carolinus" "Piciformes" "Picidae" "Melanerpes" "carolinus" "Melanerpes_carolinus"
"293" 4040 "Sphyrapicus_thyroideus" "Piciformes" "Picidae" "Sphyrapicus" "thyroideus" "Sphyrapicus_thyroideus"
"294" 4020 "Sphyrapicus_varius" "Piciformes" "Picidae" "Sphyrapicus" "varius" "Sphyrapicus_varius"
"295" 4021 "Sphyrapicus_nuchalis" "Piciformes" "Picidae" "Sphyrapicus" "nuchalis" "Sphyrapicus_nuchalis"
"296" 4030 "Sphyrapicus_ruber" "Piciformes" "Picidae" "Sphyrapicus" "ruber" "Sphyrapicus_ruber"
"298" 4010 "Picoides_tridactylus" "Piciformes" "Picidae" "Picoides" "dorsalis" "Picoides_tridactylus"
"299" 4000 "Picoides_arcticus" "Piciformes" "Picidae" "Picoides" "arcticus" "Picoides_arcticus"
"300" 3940 "Dryobates_pubescens" "Piciformes" "Picidae" "Dryobates" "pubescens" "Picoides_pubescens"
"301" 3970 "Dryobates_nuttallii" "Piciformes" "Picidae" "Dryobates" "nuttallii" "Picoides_nuttallii"
"302" 3960 "Dryobates_scalaris" "Piciformes" "Picidae" "Dryobates" "scalaris" "Picoides_scalaris"
"303" 3950 "Leuconotopicus_borealis" "Piciformes" "Picidae" "Dryobates" "borealis" "Picoides_borealis"
"304" 3930 "Leuconotopicus_villosus" "Piciformes" "Picidae" "Dryobates" "villosus" "Picoides_villosus"
"305" 3990 "Leuconotopicus_albolarvatus" "Piciformes" "Picidae" "Dryobates" "albolarvatus" "Picoides_albolarvatus"
"306" 3975 "Leuconotopicus_arizonae" "Piciformes" "Picidae" "Dryobates" "arizonae" "Picoides_arizonae"
"307" 4123 "Colaptes_auratus" "Piciformes" "Picidae" "Colaptes" "auratus" "Colaptes_auratus"
"308" 4120 "Colaptes_auratus" "Piciformes" "Picidae" "Colaptes" "auratus" "Colaptes_auratus"
"309" 4130 "Colaptes_auratus" "Piciformes" "Picidae" "Colaptes" "auratus" "Colaptes_auratus"
"310" 4125 "Colaptes_auratus" "Piciformes" "Picidae" "Colaptes" "auratus" "Colaptes_auratus"
"311" 4140 "Colaptes_chrysoides" "Piciformes" "Picidae" "Colaptes" "chrysoides" "Colaptes_chrysoides"
"312" 4050 "Dryocopus_pileatus" "Piciformes" "Picidae" "Dryocopus" "pileatus" "Dryocopus_pileatus"
"314" 3620 "Caracara_cheriway" "Falconiformes" "Falconidae" "Caracara" "cheriway" "Caracara_cheriway"
"315" 3600 "Falco_sparverius" "Falconiformes" "Falconidae" "Falco" "sparverius" "Falco_sparverius"
"316" 3570 "Falco_columbarius" "Falconiformes" "Falconidae" "Falco" "columbarius" "Falco_columbarius"
"317" 3590 "Falco_femoralis" "Falconiformes" "Falconidae" "Falco" "femoralis" "Falco_femoralis"
"318" 3540 "Falco_rusticolus" "Falconiformes" "Falconidae" "Falco" "rusticolus" "Falco_rusticolus"
"319" 3560 "Falco_peregrinus" "Falconiformes" "Falconidae" "Falco" "peregrinus" "Falco_peregrinus"
"320" 3550 "Falco_mexicanus" "Falconiformes" "Falconidae" "Falco" "mexicanus" "Falco_mexicanus"
"321" 3824 "Myiopsitta_monachus" "Psittaciformes" "Psittacidae" "Myiopsitta" "monachus" "Myiopsitta_monachus"
"322" 4411 "Pachyramphus_aglaiae" "Passeriformes" "Tityridae" "Pachyramphus" "aglaiae" "Pachyramphus_aglaiae"
"323" 4720 "Camptostoma_imberbe" "Passeriformes" "Tyrannidae" "Camptostoma" "imberbe" "Camptostoma_imberbe"
"324" 4550 "Myiarchus_tuberculifer" "Passeriformes" "Tyrannidae" "Myiarchus" "tuberculifer" "Myiarchus_tuberculifer"
"325" 4540 "Myiarchus_cinerascens" "Passeriformes" "Tyrannidae" "Myiarchus" "cinerascens" "Myiarchus_cinerascens"
"326" 4520 "Myiarchus_crinitus" "Passeriformes" "Tyrannidae" "Myiarchus" "crinitus" "Myiarchus_crinitus"
"327" 4530 "Myiarchus_tyrannulus" "Passeriformes" "Tyrannidae" "Myiarchus" "tyrannulus" "Myiarchus_tyrannulus"
"328" 4490 "Pitangus_sulphuratus" "Passeriformes" "Tyrannidae" "Pitangus" "sulphuratus" "Pitangus_sulphuratus"
"329" 4510 "Myiodynastes_luteiventris" "Passeriformes" "Tyrannidae" "Myiodynastes" "luteiventris" "Myiodynastes_luteiventris"
"330" 4460 "Tyrannus_melancholicus" "Passeriformes" "Tyrannidae" "Tyrannus" "melancholicus" "Tyrannus_melancholicus"
"331" 4461 "Tyrannus_couchii" "Passeriformes" "Tyrannidae" "Tyrannus" "couchii" "Tyrannus_couchii"
"332" 4480 "Tyrannus_vociferans" "Passeriformes" "Tyrannidae" "Tyrannus" "vociferans" "Tyrannus_vociferans"
"333" 4451 "Tyrannus_crassirostris" "Passeriformes" "Tyrannidae" "Tyrannus" "crassirostris" "Tyrannus_crassirostris"
"334" 4470 "Tyrannus_verticalis" "Passeriformes" "Tyrannidae" "Tyrannus" "verticalis" "Tyrannus_verticalis"
"335" 4447 "Tyrannus_vociferans" "Passeriformes" "Tyrannidae" "Tyrannus" "vociferans" "Tyrannus_vociferans"
"336" 4440 "Tyrannus_tyrannus" "Passeriformes" "Tyrannidae" "Tyrannus" "tyrannus" "Tyrannus_tyrannus"
"337" 4450 "Tyrannus_dominicensis" "Passeriformes" "Tyrannidae" "Tyrannus" "dominicensis" "Tyrannus_dominicensis"
"338" 4430 "Tyrannus_forficatus" "Passeriformes" "Tyrannidae" "Tyrannus" "forficatus" "Tyrannus_forficatus"
"339" 4590 "Contopus_cooperi" "Passeriformes" "Tyrannidae" "Contopus" "cooperi" "Contopus_cooperi"
"340" 4600 "Contopus_pertinax" "Passeriformes" "Tyrannidae" "Contopus" "pertinax" "Contopus_pertinax"
"341" 4620 "Contopus_sordidulus" "Passeriformes" "Tyrannidae" "Contopus" "sordidulus" "Contopus_sordidulus"
"342" 4610 "Contopus_virens" "Passeriformes" "Tyrannidae" "Contopus" "virens" "Contopus_virens"
"343" 4630 "Empidonax_flaviventris" "Passeriformes" "Tyrannidae" "Empidonax" "flaviventris" "Empidonax_flaviventris"
"344" 4650 "Empidonax_virescens" "Passeriformes" "Tyrannidae" "Empidonax" "virescens" "Empidonax_virescens"
"345" 4661 "Empidonax_alnorum" "Passeriformes" "Tyrannidae" "Empidonax" "alnorum" "Empidonax_alnorum"
"346" 4660 "Empidonax_traillii" "Passeriformes" "Tyrannidae" "Empidonax" "traillii" "Empidonax_traillii"
"347" 4665 "Empidonax_alnorum" "Passeriformes" "Tyrannidae" "Empidonax" "alnorum" "Empidonax_alnorum"
"348" 4670 "Empidonax_minimus" "Passeriformes" "Tyrannidae" "Empidonax" "minimus" "Empidonax_minimus"
"349" 4680 "Empidonax_hammondii" "Passeriformes" "Tyrannidae" "Empidonax" "hammondii" "Empidonax_hammondii"
"350" 4691 "Empidonax_wrightii" "Passeriformes" "Tyrannidae" "Empidonax" "wrightii" "Empidonax_wrightii"
"351" 4690 "Empidonax_oberholseri" "Passeriformes" "Tyrannidae" "Empidonax" "oberholseri" "Empidonax_oberholseri"
"352" 4689 "Empidonax_hammondii" "Passeriformes" "Tyrannidae" "Empidonax" "hammondii" "Empidonax_hammondii"
"353" 4641 "Empidonax_difficilis" "Passeriformes" "Tyrannidae" "Empidonax" "difficilis" "Empidonax_difficilis"
"354" 4640 "Empidonax_occidentalis" "Passeriformes" "Tyrannidae" "Empidonax" "occidentalis" "Empidonax_occidentalis"
"355" 4642 "Empidonax_difficilis" "Passeriformes" "Tyrannidae" "Empidonax" "difficilis" "Empidonax_difficilis"
"357" 4580 "Sayornis_nigricans" "Passeriformes" "Tyrannidae" "Sayornis" "nigricans" "Sayornis_nigricans"
"358" 4560 "Sayornis_phoebe" "Passeriformes" "Tyrannidae" "Sayornis" "phoebe" "Sayornis_phoebe"
"359" 4570 "Sayornis_saya" "Passeriformes" "Tyrannidae" "Sayornis" "saya" "Sayornis_saya"
"360" 4710 "Pyrocephalus_rubinus" "Passeriformes" "Tyrannidae" "Pyrocephalus" "rubinus" "Pyrocephalus_rubinus"
"361" 6220 "Lanius_ludovicianus" "Passeriformes" "Laniidae" "Lanius" "ludovicianus" "Lanius_ludovicianus"
"362" 6210 "Lanius_borealis" "Passeriformes" "Laniidae" "Lanius" "borealis" "Lanius_excubitor"
"363" 6300 "Vireo_atricapilla" "Passeriformes" "Vireonidae" "Vireo" "atricapilla" "Vireo_atricapilla"
"364" 6310 "Vireo_griseus" "Passeriformes" "Vireonidae" "Vireo" "griseus" "Vireo_griseus"
"365" 6330 "Vireo_bellii" "Passeriformes" "Vireonidae" "Vireo" "bellii" "Vireo_bellii"
"366" 6340 "Vireo_vicinior" "Passeriformes" "Vireonidae" "Vireo" "vicinior" "Vireo_vicinior"
"367" 6320 "Vireo_huttoni" "Passeriformes" "Vireonidae" "Vireo" "huttoni" "Vireo_huttoni"
"368" 6280 "Vireo_flavifrons" "Passeriformes" "Vireonidae" "Vireo" "flavifrons" "Vireo_flavifrons"
"369" 6291 "Vireo_cassinii" "Passeriformes" "Vireonidae" "Vireo" "cassinii" "Vireo_cassinii"
"370" 6290 "Vireo_solitarius" "Passeriformes" "Vireonidae" "Vireo" "solitarius" "Vireo_solitarius"
"371" 6292 "Vireo_plumbeus" "Passeriformes" "Vireonidae" "Vireo" "plumbeus" "Vireo_plumbeus"
"372" 6296 "Vireo_plumbeus" "Passeriformes" "Vireonidae" "Vireo" "plumbeus" "Vireo_plumbeus"
"373" 6260 "Vireo_philadelphicus" "Passeriformes" "Vireonidae" "Vireo" "philadelphicus" "Vireo_philadelphicus"
"374" 6270 "Vireo_gilvus" "Passeriformes" "Vireonidae" "Vireo" "gilvus" "Vireo_gilvus"
"375" 6240 "Vireo_olivaceus" "Passeriformes" "Vireonidae" "Vireo" "olivaceus" "Vireo_olivaceus"
"376" 6230 "Vireo_altiloquus" "Passeriformes" "Vireonidae" "Vireo" "altiloquus" "Vireo_altiloquus"
"377" 4840 "Perisoreus_canadensis" "Passeriformes" "Corvidae" "Perisoreus" "canadensis" "Perisoreus_canadensis"
"378" 4830 "Cyanocorax_yncas" "Passeriformes" "Corvidae" "Cyanocorax" "yncas" "Cyanocorax_yncas"
"379" 4920 "Gymnorhinus_cyanocephalus" "Passeriformes" "Corvidae" "Gymnorhinus" "cyanocephalus" "Gymnorhinus_cyanocephalus"
"380" 4780 "Cyanocitta_stelleri" "Passeriformes" "Corvidae" "Cyanocitta" "stelleri" "Cyanocitta_stelleri"
"381" 4770 "Cyanocitta_cristata" "Passeriformes" "Corvidae" "Cyanocitta" "cristata" "Cyanocitta_cristata"
"382" 4790 "Aphelocoma_coerulescens" "Passeriformes" "Corvidae" "Aphelocoma" "coerulescens" "Aphelocoma_coerulescens"
"383" 4812 "Aphelocoma_californica" "Passeriformes" "Corvidae" "Aphelocoma" "californica" "Aphelocoma_californica"
"384" 4813 "Aphelocoma_californica" "Passeriformes" "Corvidae" "Aphelocoma" "woodhouseii" "Aphelocoma_californica"
"385" 4810 "Aphelocoma_californica" "Passeriformes" "Corvidae" "Aphelocoma" "californica" "Aphelocoma_californica"
"386" 4820 "Aphelocoma_wollweberi" "Passeriformes" "Corvidae" "Aphelocoma" "wollweberi" "Aphelocoma_ultramarina"
"387" 4910 "Nucifraga_columbiana" "Passeriformes" "Corvidae" "Nucifraga" "columbiana" "Nucifraga_columbiana"
"388" 4750 "Pica_hudsonia" "Passeriformes" "Corvidae" "Pica" "hudsonia" "Pica_hudsonia"
"389" 4760 "Pica_nutalli" "Passeriformes" "Corvidae" "Pica" "nuttalli" "Pica_hudsonia"
"390" 4880 "Corvus_brachyrhynchos" "Passeriformes" "Corvidae" "Corvus" "brachyrhynchos" "Corvus_brachyrhynchos"
"391" 4890 "Corvus_caurinus" "Passeriformes" "Corvidae" "Corvus" "caurinus" "Corvus_caurinus"
"392" 4900 "Corvus_ossifragus" "Passeriformes" "Corvidae" "Corvus" "ossifragus" "Corvus_ossifragus"
"393" 4881 "Corvus_brachyrhynchos" "Passeriformes" "Corvidae" "Corvus" "brachyrhynchos" "Corvus_brachyrhynchos"
"394" 4882 "Corvus_brachyrhynchos" "Passeriformes" "Corvidae" "Corvus" "brachyrhynchos" "Corvus_brachyrhynchos"
"395" 4870 "Corvus_cryptoleucus" "Passeriformes" "Corvidae" "Corvus" "cryptoleucus" "Corvus_cryptoleucus"
"396" 4860 "Corvus_corax" "Passeriformes" "Corvidae" "Corvus" "corax" "Corvus_corax"
"397" 4865 "Corvus_cryptoleucus" "Passeriformes" "Corvidae" "Corvus" "cryptoleucus" "Corvus_cryptoleucus"
"398" 4740 "Eremophila_alpestris" "Passeriformes" "Alaudidae" "Eremophila" "alpestris" "Eremophila_alpestris"
"399" 6160 "Riparia_riparia" "Passeriformes" "Hirundinidae" "Riparia" "riparia" "Riparia_riparia"
"400" 6140 "Tachycineta_bicolor" "Passeriformes" "Hirundinidae" "Tachycineta" "bicolor" "Tachycineta_bicolor"
"401" 6150 "Tachycineta_thalassina" "Passeriformes" "Hirundinidae" "Tachycineta" "thalassina" "Tachycineta_thalassina"
"402" 6170 "Stelgidopteryx_serripennis" "Passeriformes" "Hirundinidae" "Stelgidopteryx" "serripennis" "Stelgidopteryx_serripennis"
"403" 6110 "Progne_subis" "Passeriformes" "Hirundinidae" "Progne" "subis" "Progne_subis"
"404" 6130 "Hirundo_rustica" "Passeriformes" "Hirundinidae" "Hirundo" "rustica" "Hirundo_rustica"
"405" 6120 "Petrochelidon_pyrrhonota" "Passeriformes" "Hirundinidae" "Petrochelidon" "pyrrhonota" "Petrochelidon_pyrrhonota"
"406" 6121 "Petrochelidon_fulva" "Passeriformes" "Hirundinidae" "Petrochelidon" "fulva" "Petrochelidon_fulva"
"407" 6122 "Petrochelidon_pyrrhonota" "Passeriformes" "Hirundinidae" "Petrochelidon" "pyrrhonota" "Petrochelidon_pyrrhonota"
"408" 7360 "Poecile_carolinensis" "Passeriformes" "Paridae" "Poecile" "carolinensis" "Parus_carolinensis"
"409" 7350 "Poecile_atricapillus" "Passeriformes" "Paridae" "Poecile" "atricapillus" "Parus_atricapillus"
"410" 7380 "Poecile_gambeli" "Passeriformes" "Paridae" "Poecile" "gambeli" "Parus_gambeli"
"411" 7410 "Poecile_rufescens" "Passeriformes" "Paridae" "Poecile" "rufescens" "Parus_rufescens"
"412" 7400 "Poecile_hudsonicus" "Passeriformes" "Paridae" "Poecile" "hudsonicus" "Parus_hudsonicus"
"413" 7352 "Poecile_carolinensis" "Passeriformes" "Paridae" "Poecile" "carolinensis" "Parus_carolinensis"
"414" 7353 "Poecile_atricapillus" "Passeriformes" "Paridae" "Poecile" "atricapillus" "Parus_atricapillus"
"415" 7354 "Poecile_atricapillus" "Passeriformes" "Paridae" "Poecile" "atricapillus" "Parus_atricapillus"
"417" 7340 "Baeolophus_wollweberi" "Passeriformes" "Paridae" "Baeolophus" "wollweberi" "Baeolophus_wollweberi"
"418" 7330 "Baeolophus_inornatus" "Passeriformes" "Paridae" "Baeolophus" "inornatus" "Baeolophus_inornatus"
"419" 7331 "Baeolophus_ridgwayi" "Passeriformes" "Paridae" "Baeolophus" "ridgwayi" "Baeolophus_ridgwayi"
"420" 7332 "Baeolophus_inornatus" "Passeriformes" "Paridae" "Baeolophus" "inornatus" "Baeolophus_inornatus"
"421" 7310 "Baeolophus_bicolor" "Passeriformes" "Paridae" "Baeolophus" "bicolor" "Baeolophus_bicolor"
"422" 7320 "Baeolophus_atricristatus" "Passeriformes" "Paridae" "Baeolophus" "atricristatus" "Baeolophus_atricristatus"
"423" 7315 "Baeolophus_bicolor" "Passeriformes" "Paridae" "Baeolophus" "bicolor" "Baeolophus_bicolor"
"424" 7460 "Auriparus_flaviceps" "Passeriformes" "Remizidae" "Auriparus" "flaviceps" "Auriparus_flaviceps"
"425" 7430 "Psaltriparus_minimus" "Passeriformes" "Aegithalidae" "Psaltriparus" "minimus" "Psaltriparus_minimus"
"426" 7280 "Sitta_canadensis" "Passeriformes" "Sittidae" "Sitta" "canadensis" "Sitta_canadensis"
"427" 7270 "Sitta_carolinensis" "Passeriformes" "Sittidae" "Sitta" "carolinensis" "Sitta_carolinensis"
"428" 7300 "Sitta_pygmaea" "Passeriformes" "Sittidae" "Sitta" "pygmaea" "Sitta_pygmaea"
"429" 7290 "Sitta_pusilla" "Passeriformes" "Sittidae" "Sitta" "pusilla" "Sitta_pusilla"
"430" 7260 "Certhia_americana" "Passeriformes" "Certhiidae" "Certhia" "americana" "Certhia_americana"
"431" 7150 "Salpinctes_obsoletus" "Passeriformes" "Troglodytidae" "Salpinctes" "obsoletus" "Salpinctes_obsoletus"
"432" 7170 "Catherpes_mexicanus" "Passeriformes" "Troglodytidae" "Catherpes" "mexicanus" "Catherpes_mexicanus"
"433" 7210 "Troglodytes_aedon" "Passeriformes" "Troglodytidae" "Troglodytes" "aedon" "Troglodytes_aedon"
"434" 7221 "Troglodytes_pacificus" "Passeriformes" "Troglodytidae" "Troglodytes" "pacificus" "Troglodytes_troglodytes"
"435" 7222 "Troglodytes_hiemalis" "Passeriformes" "Troglodytidae" "Troglodytes" "hiemalis" "Troglodytes_troglodytes"
"436" 7240 "Cistothorus_platensis" "Passeriformes" "Troglodytidae" "Cistothorus" "platensis" "Cistothorus_platensis"
"437" 7250 "Cistothorus_palustris" "Passeriformes" "Troglodytidae" "Cistothorus" "palustris" "Cistothorus_palustris"
"438" 7180 "Thryothorus_ludovicianus" "Passeriformes" "Troglodytidae" "Thryothorus" "ludovicianus" "Thryothorus_ludovicianus"
"439" 7190 "Thryomanes_bewickii" "Passeriformes" "Troglodytidae" "Thryomanes" "bewickii" "Thryomanes_bewickii"
"440" 7130 "Campylorhynchus_brunneicapillus" "Passeriformes" "Troglodytidae" "Campylorhynchus" "brunneicapillus" "Campylorhynchus_brunneicapillus"
"441" 16600 "Thryophilus_sinaloa" "Passeriformes" "Troglodytidae" "Thryophilus" "sinaloa" "Thryothorus_sinaloa"
"442" 7510 "Polioptila_caerulea" "Passeriformes" "Polioptilidae" "Polioptila" "caerulea" "Polioptila_caerulea"
"443" 7520 "Polioptila_melanura" "Passeriformes" "Polioptilidae" "Polioptila" "melanura" "Polioptila_melanura"
"444" 7010 "Cinclus_mexicanus" "Passeriformes" "Cinclidae" "Cinclus" "mexicanus" "Cinclus_mexicanus"
"445" 7480 "Regulus_satrapa" "Passeriformes" "Regulidae" "Regulus" "satrapa" "Regulus_satrapa"
"446" 7490 "Regulus_calendula" "Passeriformes" "Regulidae" "Regulus" "calendula" "Regulus_calendula"
"447" 7470 "Phylloscopus_borealis" "Passeriformes" "Phylloscopidae" "Phylloscopus" "borealis" "Phylloscopus_borealis"
"448" 7420 "Chamaea_fasciata" "Passeriformes" "Sylviidae" "Chamaea" "fasciata" "Chamaea_fasciata"
"449" 7640 "Cyanecula_svecica" "Passeriformes" "Muscicapidae" "Cyanecula" "svecica" "Luscinia_svecica"
"450" 7650 "Oenanthe_oenanthe" "Passeriformes" "Muscicapidae" "Oenanthe" "oenanthe" "Oenanthe_oenanthe"
"451" 7660 "Sialia_sialis" "Passeriformes" "Turdidae" "Sialia" "sialis" "Sialia_sialis"
"452" 7670 "Sialia_mexicana" "Passeriformes" "Turdidae" "Sialia" "mexicana" "Sialia_mexicana"
"453" 7680 "Sialia_currucoides" "Passeriformes" "Turdidae" "Sialia" "currucoides" "Sialia_currucoides"
"454" 7540 "Myadestes_townsendi" "Passeriformes" "Turdidae" "Myadestes" "townsendi" "Myadestes_townsendi"
"455" 7560 "Catharus_fuscescens" "Passeriformes" "Turdidae" "Catharus" "fuscescens" "Catharus_fuscescens"
"456" 7570 "Catharus_minimus" "Passeriformes" "Turdidae" "Catharus" "minimus" "Catharus_minimus"
"457" 7580 "Catharus_ustulatus" "Passeriformes" "Turdidae" "Catharus" "ustulatus" "Catharus_ustulatus"
"458" 7590 "Catharus_guttatus" "Passeriformes" "Turdidae" "Catharus" "guttatus" "Catharus_guttatus"
"459" 7550 "Hylocichla_mustelina" "Passeriformes" "Turdidae" "Hylocichla" "mustelina" "Hylocichla_mustelina"
