"AOU" "animal" "ORDER" "Family" "Genus" "Epithet" "animal_jetz"
"56" 2980 "Falcipennis_canadensis" "Galliformes" "Phasianidae" "Falcipennis" "canadensis" "Dendragapus_canadensis"
"57" 3010 "Lagopus_lagopus" "Galliformes" "Phasianidae" "Lagopus" "lagopus" "Lagopus_lagopus"
"58" 3020 "Lagopus_muta" "Galliformes" "Phasianidae" "Lagopus" "muta" "Lagopus_muta"
"59" 3040 "Lagopus_leucura" "Galliformes" "Phasianidae" "Lagopus" "leucura" "Lagopus_leucura"
"60" 2970 "Dendragapus_obscurus" "Galliformes" "Phasianidae" "Dendragapus" "obscurus" "Dendragapus_obscurus"
"61" 2971 "Dendragapus_fuliginosus" "Galliformes" "Phasianidae" "Dendragapus" "fuliginosus" "Dendragapus_fuliginosus"
"62" 2973 "Dendragapus_obscurus" "Galliformes" "Phasianidae" "Dendragapus" "obscurus" "Dendragapus_obscurus"
"63" 3080 "Tympanuchus_phasianellus" "Galliformes" "Phasianidae" "Tympanuchus" "phasianellus" "Tympanuchus_phasianellus"
"64" 3050 "Tympanuchus_cupido" "Galliformes" "Phasianidae" "Tympanuchus" "cupido" "Tympanuchus_cupido"
"65" 3070 "Tympanuchus_pallidicinctus" "Galliformes" "Phasianidae" "Tympanuchus" "pallidicinctus" "Tympanuchus_pallidicinctus"
"66" 3100 "Meleagris_gallopavo" "Galliformes" "Phasianidae" "Meleagris" "gallopavo" "Meleagris_gallopavo"
"67" 50 "Tachybaptus_dominicus" "Podicipediformes" "Podicipedidae" "Tachybaptus" "dominicus" "Tachybaptus_dominicus"
"68" 60 "Podilymbus_podiceps" "Podicipediformes" "Podicipedidae" "Podilymbus" "podiceps" "Podilymbus_podiceps"
"69" 30 "Podiceps_auritus" "Podicipediformes" "Podicipedidae" "Podiceps" "auritus" "Podiceps_auritus"
"70" 20 "Podiceps_grisegena" "Podicipediformes" "Podicipedidae" "Podiceps" "grisegena" "Podiceps_grisegena"
"71" 40 "Podiceps_nigricollis" "Podicipediformes" "Podicipedidae" "Podiceps" "nigricollis" "Podiceps_nigricollis"
"72" 10 "Aechmophorus_occidentalis" "Podicipediformes" "Podicipedidae" "Aechmophorus" "occidentalis" "Aechmophorus_occidentalis"
"73" 11 "Aechmophorus_clarkii" "Podicipediformes" "Podicipedidae" "Aechmophorus" "clarkii" "Aechmophorus_clarkii"
"74" 12 "Aechmophorus_occidentalis" "Podicipediformes" "Podicipedidae" "Aechmophorus" "occidentalis" "Aechmophorus_occidentalis"
"75" 3131 "Columba_livia" "Columbiformes" "Columbidae" "Columba" "livia" "Columba_livia"
"76" 3140 "Patagioenas_leucocephala" "Columbiformes" "Columbidae" "Patagioenas" "leucocephala" "Patagioenas_leucocephala"
"77" 3120 "Patagioenas_fasciata" "Columbiformes" "Columbidae" "Patagioenas" "fasciata" "Patagioenas_fasciata"
"78" 22860 "Streptopelia_decaocto" "Columbiformes" "Columbidae" "Streptopelia" "decaocto" "Streptopelia_decaocto"
"79" 3210 "Columbina_inca" "Columbiformes" "Columbidae" "Columbina" "inca" "Columbina_inca"
