FID	partition	Ecoregion	Kilometers
1317	50_037_3	Northern_Lakes_and_Forests	8.32
1318	50_037_2	Northern_Lakes_and_Forests	8.06
1319	50_037_1	Northern_Lakes_and_Forests	8.21
1320	50_042_5	Northern_Lakes_and_Forests	8.29
1321	50_042_4	Northern_Lakes_and_Forests	7.71
1322	50_042_3	North_Central_Hardwood_Forests	7.97
1323	50_042_2	North_Central_Hardwood_Forests	8.19
1324	50_042_1	Northern_Lakes_and_Forests	6.86
1325	50_047_1	Northern_Minnesota_Wetlands	7.20
1326	50_047_2	Northern_Minnesota_Wetlands	8.04
1327	50_047_3	Northern_Minnesota_Wetlands	8.04
1328	50_047_4	Northern_Minnesota_Wetlands	7.85
1329	50_047_5	Northern_Minnesota_Wetlands	8.04
1330	50_048_1	Northern_Minnesota_Wetlands	8.51
1331	50_048_2	Northern_Minnesota_Wetlands	7.46
1332	50_048_3	Northern_Minnesota_Wetlands	6.38
1333	50_048_4	Northern_Minnesota_Wetlands	7.77
1334	50_048_5	Northern_Minnesota_Wetlands	7.74
1335	50_055_1	Western_Corn_Belt_Plains	8.29
1336	50_055_2	Western_Corn_Belt_Plains	9.20
1337	50_055_3	Western_Corn_Belt_Plains	8.08
1338	50_055_4	Western_Corn_Belt_Plains	7.72
1339	50_055_5	Western_Corn_Belt_Plains	6.63
1340	50_072_1	Northern_Lakes_and_Forests	7.57
1341	50_072_2	Northern_Lakes_and_Forests	7.75
1342	50_072_3	Northern_Lakes_and_Forests	7.10
1343	50_072_4	Northern_Lakes_and_Forests	8.24
1344	50_072_5	Northern_Lakes_and_Forests	8.67
1345	50_081_1	Northern_Minnesota_Wetlands	7.45
1346	50_081_2	Northern_Minnesota_Wetlands	7.45
1347	50_081_3	Northern_Minnesota_Wetlands	8.22
1348	50_081_4	Lake_Manitoba_and_Lake_Agassiz_Plain	8.62
1349	50_081_5	Lake_Manitoba_and_Lake_Agassiz_Plain	8.98
1350	50_900_1	North_Central_Hardwood_Forests	7.85
1351	50_900_2	North_Central_Hardwood_Forests	7.50
1352	50_900_3	North_Central_Hardwood_Forests	7.10
1353	50_900_4	North_Central_Hardwood_Forests	7.12
1354	50_900_5	North_Central_Hardwood_Forests	8.06
1355	51_023_5	Southeastern_Plains	7.60
1356	51_023_4	Southeastern_Plains	8.26
1357	51_023_3	Southeastern_Plains	7.30
1358	51_023_2	Southeastern_Plains	7.62
1359	51_023_1	Southeastern_Plains	7.69
1360	51_030_5	Southern_Coastal_Plain	8.52
1361	51_030_4	Southeastern_Plains	8.43
1362	51_030_3	Southeastern_Plains	7.98
1363	51_030_2	Southeastern_Plains	8.23
1364	51_030_1	Southeastern_Plains	8.35
1365	51_113_1	Southeastern_Plains	8.12
1366	51_113_2	Southeastern_Plains	8.09
1367	51_113_3	Southeastern_Plains	8.44
1368	51_113_4	Southeastern_Plains	7.65
1369	51_113_5	Southeastern_Plains	8.03
1370	51_119_1	Southeastern_Plains	8.01
1371	51_119_2	Southeastern_Plains	7.80
1372	51_119_3	Southeastern_Plains	7.96
1373	51_119_4	Southeastern_Plains	7.76
1374	51_119_5	Southeastern_Plains	7.90
1375	51_229_5	Southeastern_Plains	7.39
1376	51_229_4	Southeastern_Plains	7.28
1377	51_229_3	Southeastern_Plains	7.29
1378	51_229_2	Southeastern_Plains	7.09
1379	51_229_1	Southeastern_Plains	7.04
1380	52_002_1	Ozark_Highlands	7.08
1381	52_002_2	Ozark_Highlands	7.16
1382	52_002_3	Ozark_Highlands	8.09
1383	52_002_4	Ozark_Highlands	7.23
1384	52_002_5	Ozark_Highlands	7.45
1385	52_007_5	Interior_River_Valleys_and_Hills	8.72
1386	52_007_4	Interior_River_Valleys_and_Hills	7.77
1387	52_007_3	Interior_River_Valleys_and_Hills	8.66
1388	52_007_2	Interior_River_Valleys_and_Hills	7.82
1389	52_007_1	Interior_River_Valleys_and_Hills	7.88
1390	52_010_5	Ozark_Highlands	8.41
1391	52_010_4	Ozark_Highlands	8.18
1392	52_010_3	Ozark_Highlands	8.15
1393	52_010_2	Ozark_Highlands	8.20
1394	52_010_1	Ozark_Highlands	7.78
1395	52_011_5	Ozark_Highlands	7.73
1396	52_011_4	Ozark_Highlands	8.22
1397	52_011_3	Ozark_Highlands	7.84
1398	52_011_2	Ozark_Highlands	8.10
1399	52_011_1	Ozark_Highlands	8.57
1400	52_019_1	Interior_River_Valleys_and_Hills	8.00
1401	52_019_2	Central_Irregular_Plains	7.55
1402	52_019_3	Central_Irregular_Plains	7.06
1403	52_019_4	Central_Irregular_Plains	7.42
1404	52_019_5	Central_Irregular_Plains	7.20
1405	52_021_5	Ozark_Highlands	8.13
1406	52_021_4	Ozark_Highlands	8.01
1407	52_021_3	Interior_River_Valleys_and_Hills	8.49
1408	52_021_2	Interior_River_Valleys_and_Hills	8.39
1409	52_021_1	Interior_River_Valleys_and_Hills	8.39
1410	52_027_1	Central_Irregular_Plains	7.41
1411	52_027_2	Central_Irregular_Plains	7.81
1412	52_027_3	Central_Irregular_Plains	8.04
1413	52_027_4	Central_Irregular_Plains	7.56
1414	52_027_5	Central_Irregular_Plains	8.03
1415	52_028_5	Interior_River_Valleys_and_Hills	8.12
1416	52_028_4	Interior_River_Valleys_and_Hills	7.91
1417	52_028_3	Central_Irregular_Plains	7.75
1418	52_028_2	Central_Irregular_Plains	8.45
1419	52_028_1	Central_Irregular_Plains	8.02
1420	52_052_1	Ozark_Highlands	7.78
1421	52_052_2	Ozark_Highlands	7.55
1422	52_052_3	Ozark_Highlands	8.05
1423	52_052_4	Ozark_Highlands	8.30
1424	52_052_5	Ozark_Highlands	7.90
1425	52_053_1	Ozark_Highlands	7.84
1426	52_053_2	Ozark_Highlands	8.08
1427	52_053_3	Ozark_Highlands	7.74
1428	52_053_4	Ozark_Highlands	8.16
1429	52_053_5	Ozark_Highlands	7.57
1430	52_054_1	Ozark_Highlands	7.40
1431	52_054_2	Ozark_Highlands	7.39
1432	52_054_3	Ozark_Highlands	7.41
1433	52_054_4	Ozark_Highlands	7.83
1434	52_054_5	Ozark_Highlands	7.63
1435	52_056_1	Mississippi_Alluvial_Plain	8.49
1436	52_056_2	Interior_River_Valleys_and_Hills	8.18
1437	52_056_3	Interior_River_Valleys_and_Hills	8.38
1438	52_056_4	Interior_River_Valleys_and_Hills	8.36
1439	52_056_5	Interior_River_Valleys_and_Hills	7.99
1440	52_061_1	Ozark_Highlands	7.76
1441	52_061_2	Ozark_Highlands	7.72
1442	52_061_3	Ozark_Highlands	7.86
1443	52_061_4	Ozark_Highlands	7.94
1444	52_061_5	Ozark_Highlands	7.90
1445	52_066_5	Central_Irregular_Plains	8.54
1446	52_066_4	Central_Irregular_Plains	7.85
1447	52_066_3	Central_Irregular_Plains	7.92
1448	52_066_2	Central_Irregular_Plains	9.35
1449	52_066_1	Central_Irregular_Plains	7.98
1450	52_067_1	Western_Corn_Belt_Plains	6.89
1451	52_067_2	Central_Irregular_Plains	7.65
1452	52_067_3	Central_Irregular_Plains	7.14
1453	52_067_4	Central_Irregular_Plains	7.00
1454	52_067_5	Central_Irregular_Plains	8.05
1455	52_068_1	Central_Irregular_Plains	7.99
1456	52_068_2	Central_Irregular_Plains	8.48
1457	52_068_3	Central_Irregular_Plains	8.28
1458	52_068_4	Central_Irregular_Plains	7.65
1459	52_068_5	Central_Irregular_Plains	6.89
1460	52_070_5	Central_Irregular_Plains	8.12
1461	52_070_4	Central_Irregular_Plains	8.13
1462	52_070_3	Central_Irregular_Plains	7.70
1463	52_070_2	Central_Irregular_Plains	8.89
1464	52_070_1	Central_Irregular_Plains	7.85
1465	52_109_5	Ozark_Highlands	7.74
1466	52_109_4	Ozark_Highlands	8.16
1467	52_109_3	Ozark_Highlands	7.66
1468	52_109_2	Ozark_Highlands	7.24
1469	52_109_1	Ozark_Highlands	7.49
1470	52_131_5	Central_Irregular_Plains	8.48
1471	52_131_4	Central_Irregular_Plains	8.52
1472	52_131_3	Central_Irregular_Plains	8.46
1473	52_131_2	Central_Irregular_Plains	8.48
1474	52_131_1	Central_Irregular_Plains	8.86
1475	53_002_5	Columbia_Mountains/Northern_Rockies	9.24
1476	53_002_4	Columbia_Mountains/Northern_Rockies	7.68
1477	53_002_3	Columbia_Mountains/Northern_Rockies	9.01
1478	53_002_2	Columbia_Mountains/Northern_Rockies	8.63
1479	53_002_1	Columbia_Mountains/Northern_Rockies	9.62
1480	53_013_5	Columbia_Mountains/Northern_Rockies	8.33
1481	53_013_4	Columbia_Mountains/Northern_Rockies	9.35
1482	53_013_3	Columbia_Mountains/Northern_Rockies	8.55
1483	53_013_2	Columbia_Mountains/Northern_Rockies	8.13
1484	53_013_1	Columbia_Mountains/Northern_Rockies	7.37
1485	53_015_5	Middle_Rockies	7.94
1486	53_015_4	Middle_Rockies	7.49
1487	53_015_3	Canadian_Rockies	7.57
1488	53_015_2	Canadian_Rockies	7.47
1489	53_015_1	Columbia_Mountains/Northern_Rockies	7.49
1490	53_019_1	Northwestern_Great_Plains	8.96
1491	53_019_2	Northwestern_Great_Plains	8.83
1492	53_019_3	Northwestern_Great_Plains	8.17
1493	53_019_4	Northwestern_Great_Plains	7.20
1494	53_019_5	Northwestern_Great_Plains	7.46
1495	53_025_5	Columbia_Mountains/Northern_Rockies	8.12
1496	53_025_4	Columbia_Mountains/Northern_Rockies	7.19
1497	53_025_3	Columbia_Mountains/Northern_Rockies	7.21
1498	53_025_2	Columbia_Mountains/Northern_Rockies	8.61
1499	53_025_1	Columbia_Mountains/Northern_Rockies	8.75
1500	53_026_5	Middle_Rockies	7.77
1501	53_026_4	Middle_Rockies	6.95
1502	53_026_3	Middle_Rockies	7.21
1503	53_026_2	Middle_Rockies	8.09
1504	53_026_1	Middle_Rockies	7.75
1505	53_027_1	Middle_Rockies	7.75
1506	53_027_2	Middle_Rockies	6.72
1507	53_027_3	Middle_Rockies	7.14
1508	53_027_4	Middle_Rockies	8.48
1509	53_027_5	Middle_Rockies	7.55
1510	53_028_1	Middle_Rockies	8.84
1511	53_028_2	Middle_Rockies	7.92
1512	53_028_3	Middle_Rockies	8.16
1513	53_028_4	Middle_Rockies	8.10
1514	53_028_5	Middle_Rockies	8.76
1515	53_040_5	Northwestern_Great_Plains	8.20
1516	53_040_4	Northwestern_Great_Plains	7.84
1517	53_040_3	Northwestern_Great_Plains	7.60
1518	53_040_2	Northwestern_Great_Plains	8.07
1519	53_040_1	Northwestern_Great_Plains	9.02
1520	53_074_5	Columbia_Mountains/Northern_Rockies	8.15
1521	53_074_4	Columbia_Mountains/Northern_Rockies	8.25
1522	53_074_3	Columbia_Mountains/Northern_Rockies	7.42
1523	53_074_2	Columbia_Mountains/Northern_Rockies	8.55
1524	53_074_1	Columbia_Mountains/Northern_Rockies	7.86
1525	53_097_1	Middle_Rockies	7.74
1526	53_097_2	Middle_Rockies	7.92
1527	53_097_3	Middle_Rockies	8.20
1528	53_097_4	Middle_Rockies	7.63
1529	53_097_5	Middle_Rockies	8.51
1530	54_007_1	Central_Great_Plains	8.04
1531	54_007_2	Central_Great_Plains	6.98
1532	54_007_3	Central_Great_Plains	7.45
1533	54_007_4	Central_Great_Plains	8.17
1534	54_007_5	Central_Great_Plains	8.36
1535	54_008_5	Central_Great_Plains	8.35
1536	54_008_4	Central_Great_Plains	8.05
1537	54_008_3	Central_Great_Plains	7.83
1538	54_008_2	Central_Great_Plains	8.02
1539	54_008_1	Central_Great_Plains	8.56
1540	54_014_5	Central_Great_Plains	7.83
1541	54_014_4	Central_Great_Plains	7.83
1542	54_014_3	Central_Great_Plains	8.63
1543	54_014_2	Central_Great_Plains	8.86
1544	54_014_1	Central_Great_Plains	10.39
1545	54_022_5	Western_Corn_Belt_Plains	9.23
1546	54_022_4	Western_Corn_Belt_Plains	8.30
1547	54_022_3	Western_Corn_Belt_Plains	8.60
1548	54_022_2	Western_Corn_Belt_Plains	7.76
1549	54_022_1	Western_Corn_Belt_Plains	7.76
1550	54_027_1	Nebraska_Sand_Hills	8.27
1551	54_027_2	Nebraska_Sand_Hills	8.01
1552	54_027_3	Nebraska_Sand_Hills	6.79
1553	54_027_4	Nebraska_Sand_Hills	8.68
1554	54_027_5	Nebraska_Sand_Hills	8.62
1555	55_033_5	Mojave_Basin_and_Range	9.14
1556	55_033_4	Mojave_Basin_and_Range	8.56
1557	55_033_3	Mojave_Basin_and_Range	8.56
1558	55_033_2	Mojave_Basin_and_Range	7.73
1559	55_033_1	Mojave_Basin_and_Range	7.58
1560	55_045_1	Central_Basin_and_Range	8.01
1561	55_045_2	Central_Basin_and_Range	8.45
1562	55_045_3	Central_Basin_and_Range	8.16
1563	55_045_4	Central_Basin_and_Range	8.60
1564	55_045_5	Central_Basin_and_Range	7.98
1565	58_001_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.27
1566	58_001_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.80
1567	58_001_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.53
1568	58_001_4	Northeastern_Coastal_Zone	8.80
1569	58_001_5	Northeastern_Coastal_Zone	8.65
1570	58_003_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.36
1571	58_003_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.41
1572	58_003_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.45
1573	58_003_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.51
1574	58_003_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.52
1575	58_004_5	Northeastern_Coastal_Zone	7.51
1576	58_004_4	Northeastern_Coastal_Zone	7.30
1577	58_004_3	Northeastern_Coastal_Zone	7.02
1578	58_004_2	Northeastern_Coastal_Zone	7.53
1579	58_004_1	Northeastern_Coastal_Zone	6.87
1580	58_007_1	Northeastern_Coastal_Zone	7.92
1581	58_007_2	Northeastern_Coastal_Zone	8.13
1582	58_007_3	Northeastern_Coastal_Zone	8.37
1583	58_007_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.78
1584	58_007_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.21
1585	58_008_1	Northeastern_Coastal_Zone	8.33
1586	58_008_2	Northeastern_Coastal_Zone	7.52
1587	58_008_3	Northeastern_Coastal_Zone	7.97
1588	58_008_4	Northeastern_Coastal_Zone	8.10
1589	58_008_5	Northeastern_Coastal_Zone	8.17
1590	58_009_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.89
1591	58_009_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.46
1592	58_009_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.04
1593	58_009_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.20
1594	58_009_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.02
1595	58_010_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.68
1596	58_010_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.16
1597	58_010_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.88
1598	58_010_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.16
1599	58_010_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.18
1600	58_011_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.55
1601	58_011_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.48
1602	58_011_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.31
1603	58_011_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.72
1604	58_011_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.69
1605	58_013_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.73
1606	58_013_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.54
1607	58_013_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.88
1608	58_013_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.68
1609	58_013_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.72
1610	58_014_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.73
1611	58_014_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	6.80
1612	58_014_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.37
1613	58_014_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.91
1614	58_014_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.94
1615	58_015_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.64
1616	58_015_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.03
1617	58_015_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.83
1618	58_015_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.87
1619	58_015_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.06
1620	58_017_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.36
1621	58_017_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.52
1622	58_017_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.59
1623	58_017_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.94
1624	58_017_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.42
1625	58_019_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.76
1626	58_019_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.23
1627	58_019_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.29
1628	58_019_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	9.14
1629	58_019_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.46
1630	58_020_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.95
1631	58_020_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.43
1632	58_020_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.71
1633	58_020_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.59
1634	58_020_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.69
1635	58_022_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.00
1636	58_022_4	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.98
1637	58_022_3	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.41
1638	58_022_2	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.67
1639	58_022_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	7.75
1640	59_002_1	Atlantic_Coastal_Pine_Barrens	8.07
1641	59_002_2	Atlantic_Coastal_Pine_Barrens	8.91
1642	59_002_3	Atlantic_Coastal_Pine_Barrens	8.33
1643	59_002_4	Atlantic_Coastal_Pine_Barrens	9.00
1644	59_002_5	Atlantic_Coastal_Pine_Barrens	9.03
1645	59_003_5	Middle_Atlantic_Coastal_Plain	8.16
1646	59_003_4	Atlantic_Coastal_Pine_Barrens	7.80
1647	59_003_3	Atlantic_Coastal_Pine_Barrens	8.03
1648	59_003_2	Atlantic_Coastal_Pine_Barrens	7.82
1649	59_003_1	Atlantic_Coastal_Pine_Barrens	7.99
1650	59_020_1	Northern_Appalachian_and_Atlantic_Maritime_Highlands	4.85
1651	59_020_2	Ridge_and_Valley	8.52
1652	59_020_3	Ridge_and_Valley	8.34
1653	59_020_4	Ridge_and_Valley	9.05
1654	59_020_5	Ridge_and_Valley	8.42
1655	59_021_5	Ridge_and_Valley	8.32
1656	59_021_4	Ridge_and_Valley	7.74
1657	59_021_3	Ridge_and_Valley	8.17
1658	59_021_2	Ridge_and_Valley	8.12
1659	59_021_1	Ridge_and_Valley	8.00
1660	59_116_1	Ridge_and_Valley	9.21
1661	59_116_2	Ridge_and_Valley	8.21
1662	59_116_3	Ridge_and_Valley	8.12
1663	59_116_4	Ridge_and_Valley	8.37
1664	59_116_5	Northern_Appalachian_and_Atlantic_Maritime_Highlands	8.35
1665	60_002_1	Arizona/New_Mexico_Plateau	8.26
1666	60_002_2	Arizona/New_Mexico_Plateau	7.88
1667	60_002_3	Arizona/New_Mexico_Plateau	7.87
1668	60_002_4	Arizona/New_Mexico_Plateau	7.71
1669	60_002_5	Arizona/New_Mexico_Plateau	8.51
1670	60_003_5	Arizona/New_Mexico_Plateau	8.00
1671	60_003_4	Arizona/New_Mexico_Plateau	7.64
1672	60_003_3	Southern_Rockies	7.96
1673	60_003_2	Southern_Rockies	7.99
1674	60_003_1	Southern_Rockies	7.69
1675	60_004_1	Southern_Rockies	8.27
1676	60_004_2	Southern_Rockies	8.26
1677	60_004_3	Southern_Rockies	7.92
1678	60_004_4	Southern_Rockies	7.76
1679	60_004_5	Southern_Rockies	7.86
1680	60_009_1	Arizona/New_Mexico_Plateau	8.32
1681	60_009_2	Arizona/New_Mexico_Plateau	7.42
1682	60_009_3	Arizona/New_Mexico_Mountains	7.83
1683	60_009_4	Arizona/New_Mexico_Mountains	7.80
1684	60_009_5	Arizona/New_Mexico_Mountains	8.28
1685	60_013_5	Arizona/New_Mexico_Plateau	7.90
1686	60_013_4	Arizona/New_Mexico_Plateau	7.88
1687	60_013_3	Arizona/New_Mexico_Plateau	7.77
1688	60_013_2	Arizona/New_Mexico_Plateau	7.73
1689	60_013_1	Arizona/New_Mexico_Plateau	8.45
1690	60_017_1	Southwestern_Tablelands	7.73
1691	60_017_2	Southwestern_Tablelands	8.11
1692	60_017_3	Southwestern_Tablelands	7.99
1693	60_017_4	Southwestern_Tablelands	7.74
1694	60_017_5	Southwestern_Tablelands	7.85
1695	60_018_1	High_Plains	8.51
1696	60_018_2	High_Plains	7.60
1697	60_018_3	High_Plains	8.07
1698	60_018_4	High_Plains	8.51
1699	60_018_5	High_Plains	8.46
1700	60_019_5	Arizona/New_Mexico_Mountains	8.29
1701	60_019_4	Arizona/New_Mexico_Mountains	8.56
1702	60_019_3	Arizona/New_Mexico_Mountains	8.64
1703	60_019_2	Arizona/New_Mexico_Mountains	7.76
1704	60_019_1	Arizona/New_Mexico_Mountains	7.48
1705	60_020_1	Arizona/New_Mexico_Mountains	7.94
1706	60_020_2	Arizona/New_Mexico_Plateau	8.15
1707	60_020_3	Arizona/New_Mexico_Plateau	7.49
1708	60_020_4	Arizona/New_Mexico_Mountains	7.43
1709	60_020_5	Arizona/New_Mexico_Mountains	7.56
1710	60_022_1	Arizona/New_Mexico_Mountains	7.83
1711	60_022_2	Arizona/New_Mexico_Mountains	8.18
1712	60_022_3	Arizona/New_Mexico_Mountains	8.13
1713	60_022_4	Arizona/New_Mexico_Mountains	8.59
1714	60_022_5	Arizona/New_Mexico_Mountains	8.32
1715	60_023_1	Southwestern_Tablelands	7.85
1716	60_023_2	Southwestern_Tablelands	7.95
1717	60_023_3	Chihuahuan_Desert	8.08
1718	60_023_4	Chihuahuan_Desert	8.72
1719	60_023_5	Chihuahuan_Desert	8.55
1720	60_024_5	High_Plains	7.79
1721	60_024_4	High_Plains	7.75
1722	60_024_3	High_Plains	9.16
1723	60_024_2	High_Plains	9.00
1724	60_024_1	High_Plains	8.53
1725	60_025_1	Chihuahuan_Desert	8.01
1726	60_025_2	Chihuahuan_Desert	8.19
1727	60_025_3	Chihuahuan_Desert	7.85
1728	60_025_4	Chihuahuan_Desert	7.92
1729	60_025_5	Chihuahuan_Desert	7.87
1730	60_027_1	Chihuahuan_Desert	8.90
1731	60_027_2	Chihuahuan_Desert	8.78
1732	60_027_3	Chihuahuan_Desert	7.71
1733	60_027_4	Chihuahuan_Desert	7.54
1734	60_027_5	Chihuahuan_Desert	8.27
1735	60_028_1	Arizona/New_Mexico_Mountains	7.91
1736	60_028_2	Arizona/New_Mexico_Mountains	8.22
1737	60_028_3	Arizona/New_Mexico_Mountains	7.58
1738	60_028_4	Arizona/New_Mexico_Mountains	7.33
1739	60_028_5	Arizona/New_Mexico_Mountains	7.31
1740	60_029_1	Chihuahuan_Desert	7.48
1741	60_029_2	Chihuahuan_Desert	7.47
1742	60_029_3	Chihuahuan_Desert	7.52
1743	60_029_4	Chihuahuan_Desert	7.62
1744	60_029_5	Chihuahuan_Desert	8.47
1745	60_031_1	Madrean_Archipelago	7.79
1746	60_031_2	Chihuahuan_Desert	7.73
1747	60_031_3	Chihuahuan_Desert	7.74
1748	60_031_4	Chihuahuan_Desert	7.72
1749	60_031_5	Chihuahuan_Desert	7.73
1750	60_051_1	Arizona/New_Mexico_Plateau	7.25
1751	60_051_2	Arizona/New_Mexico_Plateau	7.46
1752	60_051_3	Arizona/New_Mexico_Plateau	7.57
1753	60_051_4	Arizona/New_Mexico_Plateau	6.70
1754	60_051_5	Arizona/New_Mexico_Plateau	6.98
1755	60_056_1	High_Plains	8.84
1756	60_056_2	High_Plains	8.55
1757	60_056_3	High_Plains	8.55
1758	60_056_4	High_Plains	8.55
1759	60_056_5	High_Plains	8.55
1760	60_059_1	Southern_Rockies	8.65
1761	60_059_2	Southern_Rockies	8.23
1762	60_059_3	Southern_Rockies	7.59
1763	60_059_4	Southern_Rockies	8.50
1764	60_059_5	Southern_Rockies	8.18
1765	60_060_1	Southern_Rockies	7.60
1766	60_060_2	Southern_Rockies	7.76
1767	60_060_3	Southern_Rockies	8.00
1768	60_060_4	Southern_Rockies	7.46
1769	60_060_5	Southern_Rockies	7.35
1770	60_065_5	Southwestern_Tablelands	7.64
1771	60_065_4	Southwestern_Tablelands	9.14
1772	60_065_3	Southwestern_Tablelands	9.14
1773	60_065_2	Southwestern_Tablelands	9.02
1774	60_065_1	Southwestern_Tablelands	7.53
1775	60_068_5	High_Plains	7.89
1776	60_068_4	High_Plains	7.89
1777	60_068_3	High_Plains	8.18
1778	60_068_2	High_Plains	8.16
1779	60_068_1	High_Plains	8.19
1780	60_069_5	Arizona/New_Mexico_Mountains	7.97
1781	60_069_4	Arizona/New_Mexico_Mountains	7.91
1782	60_069_3	Arizona/New_Mexico_Mountains	7.99
1783	60_069_2	Arizona/New_Mexico_Mountains	8.03
1784	60_069_1	Arizona/New_Mexico_Mountains	7.98
1785	60_071_1	Chihuahuan_Desert	7.42
1786	60_071_2	Chihuahuan_Desert	7.75
1787	60_071_3	Chihuahuan_Desert	8.43
1788	60_071_4	Chihuahuan_Desert	8.31
1789	60_071_5	Chihuahuan_Desert	8.35
1790	60_074_1	High_Plains	7.85
1791	60_074_2	High_Plains	7.86
1792	60_074_3	High_Plains	8.12
1793	60_074_4	High_Plains	8.12
1794	60_074_5	High_Plains	7.85
1795	60_075_5	Chihuahuan_Desert	8.57
1796	60_075_4	Chihuahuan_Desert	8.56
1797	60_075_3	Chihuahuan_Desert	8.93
1798	60_075_2	Chihuahuan_Desert	8.96
1799	60_075_1	Chihuahuan_Desert	8.95
1800	60_080_1	High_Plains	7.61
1801	60_080_2	High_Plains	7.86
1802	60_080_3	High_Plains	8.03
1803	60_080_4	High_Plains	8.08
1804	60_080_5	High_Plains	7.67
1805	60_082_5	Chihuahuan_Desert	8.99
1806	60_082_4	Chihuahuan_Desert	8.73
1807	60_082_3	Chihuahuan_Desert	8.64
1808	60_082_2	Chihuahuan_Desert	8.75
1809	60_082_1	Chihuahuan_Desert	8.76
1810	60_107_5	Arizona/New_Mexico_Mountains	8.87
1811	60_107_4	Arizona/New_Mexico_Mountains	8.47
1812	60_107_3	Arizona/New_Mexico_Mountains	8.45
1813	60_107_2	Arizona/New_Mexico_Mountains	8.45
1814	60_107_1	Arizona/New_Mexico_Mountains	9.04
1815	60_111_1	Southwestern_Tablelands	7.78
1816	60_111_2	Southwestern_Tablelands	7.83
1817	60_111_3	Southwestern_Tablelands	7.74
1818	60_111_4	Southwestern_Tablelands	8.59
1819	60_111_5	High_Plains	8.03
1820	60_115_1	Chihuahuan_Desert	8.33
1821	60_115_2	Chihuahuan_Desert	8.75
1822	60_115_3	Chihuahuan_Desert	8.78
